"x" "y" "Q" "10x10" "20x20" "ha4plot" "Forest" "uneqID"
"79" 603322.70584 647188.427379999 "4" "3" "U" "1" "A1" "3U1A1"
"80" 603320.79775 647198.243649999 "4" "3" "U" "1" "A1" "3U1A1"
"81" 603305.53303 647276.77381 "1" "1" "B" "1" "A1" "1B1A1"
"82" 603315.3493 647278.681900001 "1" "1" "B" "1" "A1" "1B1A1"
"83" 603313.44121 647288.498170001 "1" "1" "B" "1" "A1" "1B1A1"
"84" 603303.62494 647286.59008 "1" "1" "B" "1" "A1" "1B1A1"
"85" 603307.44112 647266.95754 "2" "4" "B" "1" "A1" "4B1A1"
"86" 603305.53303 647276.77381 "2" "4" "B" "1" "A1" "4B1A1"
"87" 603315.3493 647278.681900001 "2" "4" "B" "1" "A1" "4B1A1"
"88" 603317.25739 647268.86563 "2" "4" "B" "1" "A1" "4B1A1"
"89" 603313.44121 647288.498170001 "3" "2" "B" "1" "A1" "2B1A1"
"90" 603315.3493 647278.681900001 "3" "2" "B" "1" "A1" "2B1A1"
"91" 603325.16557 647280.589990001 "3" "2" "B" "1" "A1" "2B1A1"
"92" 603323.25748 647290.40626 "3" "2" "B" "1" "A1" "2B1A1"
"93" 603317.25739 647268.86563 "4" "3" "B" "1" "A1" "3B1A1"
"94" 603327.07366 647270.77372 "4" "3" "B" "1" "A1" "3B1A1"
"95" 603325.16557 647280.589990001 "4" "3" "B" "1" "A1" "3B1A1"
"96" 603315.3493 647278.681900001 "4" "3" "B" "1" "A1" "3B1A1"
"97" 603309.34921 647257.14127 "1" "1" "I" "1" "A1" "1I1A1"
"98" 603307.44112 647266.95754 "1" "1" "I" "1" "A1" "1I1A1"
"99" 603317.25739 647268.86563 "1" "1" "I" "1" "A1" "1I1A1"
"100" 603319.16548 647259.04936 "1" "1" "I" "1" "A1" "1I1A1"
"101" 603311.2573 647247.325 "2" "4" "I" "1" "A1" "4I1A1"
"102" 603321.07357 647249.23309 "2" "4" "I" "1" "A1" "4I1A1"
"103" 603319.16548 647259.04936 "2" "4" "I" "1" "A1" "4I1A1"
"104" 603309.34921 647257.14127 "2" "4" "I" "1" "A1" "4I1A1"
"105" 603319.16548 647259.04936 "3" "2" "I" "1" "A1" "2I1A1"
"106" 603328.98175 647260.95745 "3" "2" "I" "1" "A1" "2I1A1"
"107" 603327.07366 647270.77372 "3" "2" "I" "1" "A1" "2I1A1"
"108" 603317.25739 647268.86563 "3" "2" "I" "1" "A1" "2I1A1"
"109" 603321.07357 647249.23309 "4" "3" "I" "1" "A1" "3I1A1"
"110" 603330.88984 647251.14118 "4" "3" "I" "1" "A1" "3I1A1"
"111" 603328.98175 647260.95745 "4" "3" "I" "1" "A1" "3I1A1"
"112" 603319.16548 647259.04936 "4" "3" "I" "1" "A1" "3I1A1"
"113" 603313.16539 647237.50873 "1" "1" "L" "1" "A1" "1L1A1"
"114" 603311.2573 647247.325 "1" "1" "L" "1" "A1" "1L1A1"
"115" 603321.07357 647249.23309 "1" "1" "L" "1" "A1" "1L1A1"
"116" 603322.98166 647239.41682 "1" "1" "L" "1" "A1" "1L1A1"
"117" 603315.07348 647227.69246 "2" "4" "L" "1" "A1" "4L1A1"
"118" 603324.88975 647229.60055 "2" "4" "L" "1" "A1" "4L1A1"
"119" 603322.98166 647239.41682 "2" "4" "L" "1" "A1" "4L1A1"
"120" 603313.16539 647237.50873 "2" "4" "L" "1" "A1" "4L1A1"
"121" 603321.07357 647249.23309 "3" "2" "L" "1" "A1" "2L1A1"
"122" 603322.98166 647239.41682 "3" "2" "L" "1" "A1" "2L1A1"
"123" 603332.79793 647241.32491 "3" "2" "L" "1" "A1" "2L1A1"
"124" 603330.88984 647251.14118 "3" "2" "L" "1" "A1" "2L1A1"
"125" 603322.98166 647239.41682 "4" "3" "L" "1" "A1" "3L1A1"
