"x" "y" "Q" "X10x10" "X20x20" "ha4plot" "Forest" "unqeID"
"80" 604378.0636835 648259.190224111 1 4 "E" 1 "A1" "4E1A1"
"81" 604378.039137 648238.955143094 2 1 "F" 1 "A1" "1F1A1"
"82" 604378.05141025 648249.072683543 2 1 "F" 1 "A1" "1F1A1"
"83" 604388.2458275 648249.324985027 2 1 "F" 1 "A1" "1F1A1"
"84" 604388.23467 648239.218130112 2 1 "F" 1 "A1" "1F1A1"
"85" 604378.05141025 648249.072683543 4 2 "F" 1 "A1" "2F1A1"
"86" 604378.0636835 648259.190224111 4 2 "F" 1 "A1" "2F1A1"
"87" 604388.256985 648259.431840181 4 2 "F" 1 "A1" "2F1A1"
"88" 604388.2458275 648249.324985027 4 2 "F" 1 "A1" "2F1A1"
"89" 604367.856993 648248.820382059 3 3 "F" 1 "A1" "3F1A1"
"90" 604367.870382 648258.948608041 3 3 "F" 1 "A1" "3F1A1"
"91" 604378.0636835 648259.190224111 3 3 "F" 1 "A1" "3F1A1"
"92" 604378.05141025 648249.072683543 3 3 "F" 1 "A1" "3F1A1"
"93" 604367.843604 648238.692156076 1 4 "F" 1 "A1" "4F1A1"
"94" 604367.856993 648248.820382059 1 4 "F" 1 "A1" "4F1A1"
"95" 604378.05141025 648249.072683543 1 4 "F" 1 "A1" "4F1A1"
"96" 604378.039137 648238.955143094 1 4 "F" 1 "A1" "4F1A1"
"97" 604357.648071 648238.429169089 2 1 "G" 1 "A1" "1G1A1"
"98" 604357.66257575 648248.568080574 2 1 "G" 1 "A1" "1G1A1"
"99" 604367.856993 648248.820382059 2 1 "G" 1 "A1" "1G1A1"
"100" 604367.843604 648238.692156076 2 1 "G" 1 "A1" "1G1A1"
"101" 604357.66257575 648248.568080574 4 2 "G" 1 "A1" "2G1A1"
"102" 604357.6770805 648258.70699203 4 2 "G" 1 "A1" "2G1A1"
"103" 604367.870382 648258.948608041 4 2 "G" 1 "A1" "2G1A1"
"104" 604367.856993 648248.820382059 4 2 "G" 1 "A1" "2G1A1"
"105" 604347.4681585 648248.31577909 3 3 "G" 1 "A1" "3G1A1"
