"dia" "ztopo" "f.time" "sp" "flood" "diff_mort" "CI025" "CI975" "pe" "sigDiff" "sigDif" "Wooddensity"
"1" 3.11194929600001 0 "3" "Dry" "dry" 0.0763676621150117 -0.0575332705579386 0.212910825488543 73.8161595361388 "diff" "no_diff" 0.31
"2" 3.11194929600001 0 "3" "Pmal" "dry" 0.288857247550026 0.101905723794529 0.433580074375674 69.6230059776376 "diff" "diff" 0.39
"3" 3.11194929600001 0 "3" "Ptom" "dry" 0.214169685783154 0.000221901989851514 0.396128540722637 65.2393351200393 "diff" "diff" 0.51
"4" 3.11194929600001 0 "3" "Sacu" "dry" 0.355602115895994 0.182469290386807 0.508375059942963 80.5181009304963 "diff" "diff" 0.31
"5" 3.11194929600001 0 "3" "Sbec" "dry" 0.382264135372041 0.182633544482262 0.520904032196499 114.562947521713 "diff" "diff" 0.36
"6" 3.11194929600001 0 "3" "Sfal" "dry" 0.0682327811637041 -0.0255651031552031 0.162094447596794 94.3132528791466 "diff" "no_diff" 0.42
"7" 3.11194929600001 0 "3" "Sgib" "dry" 0.340859294712458 0.141406049747403 0.521960168110242 95.1074346613754 "diff" "diff" 0.42
"8" 3.11194929600001 0 "3" "Slep" "dry" 0.11462814015127 0.00482001012979276 0.225648692114913 56.7483387964928 "diff" "diff" 0.37
"9" 3.11194929600001 0 "3" "Smac" "dry" 0.237910893411105 0.0736780691713439 0.369803999664979 79.6421137874794 "diff" "diff" 0.72
"10" 3.11194929600001 0 "3" "Smec" "dry" 0.122628779864601 -0.0665899336527549 0.264767086851563 58.8173061266871 "diff" "no_diff" 0.57
"11" 3.11194929600001 0 "3" "Spar" "dry" 0.237920187942444 0.0836945764787227 0.37431731242146 61.9553735152414 "diff" "diff" 0.72
"12" 3.11194929600001 0 "3" "Spau" "dry" 0.09776694079336 -0.0415609805035853 0.224946552920314 92.7905218813301 "diff" "no_diff" 0.51
"13" 3.11194929600001 0 "3" "Ssem" "dry" 0.072961945056976 -0.0128947695332784 0.173897570632438 48.5114243737959 "diff" "no_diff" 0.59
"14" 3.11194929600001 0 "3" "Ssmi" "dry" 0.350371676820994 0.162492944601617 0.512978131954189 82.4284894825631 "diff" "diff" 0.41
"15" 3.11194929600001 0 "3" "Swal" "dry" 0.166717489632128 -0.019578075988849 0.325038301597212 61.4578782655319 "diff" "no_diff" 0.41
"16" 3.11194929600001 0 "3" "Sxan" "dry" 0.0814850571500641 -0.0239097070033301 0.183021522317418 65.9529665893977 "diff" "no_diff" 0.39
