"sp" "pe"
"1" "Dry" 73.8161595361388
"2" "Pmal" 69.6230059776376
"3" "Ptom" 65.2393351200393
"4" "Sacu" 80.5181009304963
"5" "Sbec" 114.562947521713
"6" "Sfal" 94.3132528791466
"7" "Sgib" 95.1074346613754
"8" "Slep" 56.7483387964928
"9" "Smac" 79.6421137874794
"10" "Smec" 58.8173061266871
"11" "Spar" 61.9553735152414
"12" "Spau" 92.7905218813301
"13" "Ssem" 48.5114243737959
"14" "Ssmi" 82.4284894825631
"15" "Swal" 61.4578782655319
"16" "Sxan" 65.9529665893977
