site,plot,species,Sp,top_volume,bottom_volume,top_weight,bottom_weight,top_density,bottom_density
A2,P1H,swal21,Swal,8.77,15.33,3.4,7,0.3876852908,0.4566210046
A1,P5H,swal35,Swal,2.04,2.82,0.7,1.3,0.3431372549,0.4609929078
A2,P1H,Swal45,Swal,4.52,7.97,1.9,4.1,0.4203539823,0.5144291092
A2,P6H,swal57,Swal,4.11,7.4,1.6,3.2,0.3892944039,0.4324324324
A1,P6H,sxan10,Sxan,2.6,6.61,1.1,3.3,0.4230769231,0.4992435703
A1,P6H,sxan16,Sxan,9.17,14.13,4.1,7.2,0.4471101418,0.5095541401
A1,P5H?L,sxan18,Sxan,2.02,6.13,0.9,3,0.4455445545,0.4893964111
A1,P5H,sxan37,Sxan,1.24,4,0.5,2,0.4032258065,0.5
A1,P6H,sxan62?42,Sxan,4.32,6.89,2,3.4,0.462962963,0.4934687954
A2,P6H,sxan9,Sxan,3.2,9.49,1.4,4.4,0.4375,0.4636459431
A2,P4L,ptom47,Sxan,4.75,8.94,2.2,4.3,0.4631578947,0.48098434
