species,top_volume,bottom_volume,top_weight,bottom_weight,top_density,bottom_density,site,plot,block,position,Sp,number,height,Dia,sampleWoodTip,sampleWoodBase
smac23,18.24,51.85,6,21,0.3289473684,0.4050144648,A1,8,L,23,smac,2,463,27.14,100,453
smac26,2.52,8.84,0.9,4.1,0.3571428571,0.463800905,A1,6,H,26,smac,1,117,13.52,50,110
smac56,2.92,5.41,1,2.1,0.3424657534,0.3881700555,A1,5,H,56,smac,2,112,10.4,55,105
smac63,4.42,3.86,1.6,1.5,0.3619909502,0.3886010363,A1,5,H,63,smac,1,80,9.35,50,75
smec14,10.28,17.25,4.6,9.6,0.4474708171,0.5565217391,A1,6,H,14,smec,4,133,16.65,80,129
smec25,2.42,5.24,1,2.5,0.4132231405,0.4770992366,A1,5,H,25,smec,2,84,11.43,40,77
smec28,4.71,10.48,2.1,4.7,0.4458598726,0.4484732824,A1,8,L,28,smec,3,89,12.5,40,80
smec35,9.07,11.26,4.1,6,0.4520396913,0.5328596803,A1,6,H,35,smec,2,110,16.61,50,104
smec55,4.06,6.04,2.1,3.5,0.5172413793,0.5794701987,A1,6,H,55,smec,56,77,11.45,40,70
smec8,12.09,23.85,4.2,11.1,0.3473945409,0.465408805,A2,6,L,8,smec,4,231,21.7,100,220
spar20,17.85,26.4,4.6,9.3,0.2577030812,0.3522727273,A1,6,H,20,spar,2,191,23.93,150,185
spar25,13.95,22.24,4.8,7.7,0.3440860215,0.3462230216,A2,6,L,25,spar,3,215,20.79,90,206
spar33,2.07,2.89,1,1.5,0.4830917874,0.5190311419,A1,6,H,33,spar,1,65,7.29,30,58
spar44,6.06,10.59,1.8,3.9,0.297029703,0.3682719547,A1,5,H,44,spar,1,188,14.54,110,180
spar44?xx,7.48,19.63,2.3,6.3,0.307486631,0.3209373408,A1,8,L,44?xx,spar,NA,236,21.88,100,230
spar7,25.43,37.52,6.7,12.9,0.2634683445,0.3438166311,A1,6,H,7,spar,4,371,32.28,200,365
spau24,6.9,9.05,3,4.5,0.4347826087,0.4972375691,A2,1,H,24,spau,2,110,11.49,60,100
spau25,2.13,4.38,0.7,1.7,0.3286384977,0.3881278539,A1,6,H,25,spau,1,113,8.32,50,105
spau34,7.83,16.98,2.4,6.9,0.30651341,0.406360424,A2,4,L,34,spau,1,229,14.56,100,210
spau57,21.16,57.86,4.9,20.9,0.2315689981,0.36121673,A2,4,L,57,spau,4,356,29.15,100,347
spau58,7.42,16.08,2.6,6.1,0.3504043127,0.3793532338,A1,8,L,58,spau,2,152,17.89,60,146
spau7,4.57,7.3,1.6,2.6,0.3501094092,0.3561643836,A2,3,H,7,spau,2,145,9.38,70,135
