"RP" "Forest" "Forest.1" "Area.ha." "ha4plot" "X20x20" "X10x10" "Tree" "Genus" "Species" "Family" "Diam2000" "BAm2" "CP" "POM" "Remarks" "unqeID" "x" "y" "elev" "sp" "dden"
"18004" "292/3" "S2" "Sandstone" 2.8 3 "T" 3 "33" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 102.3 0.822 "5" NA NA "3T3S2" 603302.7882 648075.5534 107.1708352 "Dacu" 0.635
"18079" "292/3" "S2" "Sandstone" 3.2 3 "U" 4 "59" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 68.4 0.367 "4" NA NA "4U3S2" 603293.3014 648056.3334 108.0512476 "Dacu" 0.635
"18172" "292/3" "S2" "Sandstone" 3.2 3 "W" 2 "23" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 45.5 0.163 "5" NA NA "2W3S2" 603343.0138 648062.9663 105.9290451 "Dacu" 0.635
"18233" "292/3" "S2" "Sandstone" 3.2 3 "X" 1 "5" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 64.2 0.324 "5" NA NA "1X3S2" 603343.2258 648052.9408 101.3785149 "Dacu" 0.635
"18916" "292/3" "S2" "Sandstone" 3.6 4 "K" 3 "43" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 48.5 0.185 "4" NA NA "3K4S2" 603202.0711 648101.4751 90.77076424 "Dacu" 0.635
"18983" "292/3" "S2" "Sandstone" 3.6 4 "L" 3 "39" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 66.4 0.346 "4" NA NA "3L4S2" 603222.1149 648100.2704 97.4445045 "Dacu" 0.635
"19256" "292/3" "S2" "Sandstone" 4 4 "Q" 3 "30" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 93.8 0.691 "4" NA NA "3Q4S2" 603262.7746 648078.115 102.9373826 "Dacu" 0.635
"19263" "292/3" "S2" "Sandstone" 4 4 "Q" 4 "40" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 107.2 0.902 "4" NA NA "4Q4S2" 603252.7712 648078.7555 101.8651464 "Dacu" 0.635
"19373" "292/3" "S2" "Sandstone" 4 4 "S" 4 "50" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 53 0.221 "4" NA NA "4S4S2" 603212.7576 648081.3171 98.17620047 "Dacu" 0.635
"19436" "292/3" "S2" "Sandstone" 4 4 "T" 4 "53" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 45.2 0.16 "4" NA NA "4T4S2" 603192.7508 648082.598 93.6915744 "Dacu" 0.635
"19452" "292/3" "S2" "Sandstone" 4 4 "U" 1 "10" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 63.7 0.319 "4" NA NA "1U4S2" 603193.1016 648072.8583 94.54694126 "Dacu" 0.635
"19498" "292/3" "S2" "Sandstone" 4 4 "U" 4 "52" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 77.7 0.474 "5" NA NA "4U4S2" 603193.4524 648063.1185 91.93358755 "Dacu" 0.635
"19787" "508/3" "S3" "Sandstone" 0.1 1 "B" 2 "19" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 54.6 0.234 "4" "1.6" NA "2B1S3" 603851.3797 647980.4839 110.0295252 "Dacu" 0.635
"19788" "508/3" "S3" "Sandstone" 0.1 1 "B" 2 "21" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 50.8 0.203 "4" "1.5" NA "2B1S3" 603851.3797 647980.4839 110.0295252 "Dacu" 0.635
"19822" "508/3" "S3" "Sandstone" 0.1 1 "C" 1 "6" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 61.8 0.3 "5" "3.8" NA "1C1S3" 603850.2602 647970.7899 115.8773357 "Dacu" 0.635
"19908" "508/3" "S3" "Sandstone" 0.2 1 "E" 1 "1" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 93.7 0.689 "5" "1.3" NA "1E1S3" 603845.7822 647932.0136 130.8329478 "Dacu" 0.635
"20086" "508/3" "S3" "Sandstone" 0.4 1 "H" 3 "34" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 87.4 0.6 "5" "1.3" NA "3H1S3" 603818.3006 647964.3132 117.3760757 "Dacu" 0.635
