"RP" "Forest" "Forest.1" "Area.ha." "ha4plot" "X20x20" "X10x10" "Tree" "Genus" "Species" "Family" "Diam2000" "BAm2" "CP" "POM" "Remarks" "unqeID" "x" "y" "elev" "sp" "dden"
"5299" "508/2" "A2" "Alluvial" 1.8 2 "P" 3 "12" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 31.7 0.079 NA NA NA "3P2A2" 604358.0757 647004.8249 70.42641365 "Dkun" 0.6
"5314" "508/2" "A2" "Alluvial" 1.8 2 "Q" 2 "5" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 48.8 0.187 NA NA NA "2Q2A2" 604350.9746 647026.1026 69.77592498 "Dkun" 0.6
"6306" "508/2" "A2" "Alluvial" 2.8 3 "O" 1 "8" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 79.7 0.499 "4" "1.8" NA "1O3A2" 604300.7795 646963.9561 70.8091822 "Dkun" 0.6
"6320" "508/2" "A2" "Alluvial" 2.8 3 "O" 4 "22" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 84 0.554 "4" "1.7" NA "4O3A2" 604293.613 646957.0891 70.39184056 "Dkun" 0.6
"6329" "508/2" "A2" "Alluvial" 2.8 3 "P" 1 "12" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 50.1 0.197 "3" "1.5" NA "1P3A2" 604286.4466 646950.2221 70.30129911 "Dkun" 0.6
"6432" "508/2" "A2" "Alluvial" 2.8 3 "R" 3 "28" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 36.4 0.104 "3" "1.3" NA "3R3A2" 604258.0369 646964.6328 69.83914605 "Dkun" 0.6
"6684" "508/2" "A2" "Alluvial" 3.2 3 "Y" 2 "20" "Dipterocarpus" "Dipterocarpus_kunstleri" "Dipterocarpaceae" 75.9 0.452 "3" "1.7" NA "2Y3A2" 604279.1898 646929.4063 70.61642311 "Dkun" 0.6
"235" "292/1" "A1" "Alluvial" 0.3 1 "H" 2 "12" "Dryobalanops" "Dryobalanops_lanceolata" "Dipterocarpaceae" 137.3 1.48 "5" NA NA "2H1A1" 604347.4682 648248.3158 80.99536385 "Dry" 0.62
"421" "292/1" "A1" "Alluvial" 0.5 1 "M" 1 "5" "Dryobalanops" "Dryobalanops_lanceolata" "Dipterocarpaceae" 122.7 1.182 "5" NA NA "1M1A1" 604337.2403 648227.7429 81.97603373 "Dry" 0.62
"467" "292/1" "A1" "Alluvial" 0.6 1 "M" 4 "45" "Dryobalanops" "Dryobalanops_lanceolata" "Dipterocarpaceae" 102.1 0.818 "5" NA NA "4M1A1" 604337.2235 648217.5826 80.7716926 "Dry" 0.62
"3774" "508/2" "A2" "Alluvial" 0.2 1 "E" 1 "2" "Dryobalanops" "Dryobalanops_lanceolata" "Dipterocarpaceae" 125 1.227 "5" "3.4" NA "1E1A2" 604329.4452 647132.8453 72.11124802 "Dry" 0.62
"3808" "508/2" "A2" "Alluvial" 0.2 1 "E" 4 "38" "Dryobalanops" "Dryobalanops_lanceolata" "Dipterocarpaceae" 63.9 0.321 "5" "1.3" NA "4E1A2" 604322.3289 647125.8709 71.02588077 "Dry" 0.62
"6809" "508/2" "A2" "Alluvial" 3.2 4 "B" 4 "42" "Dryobalanops" "Dryobalanops_lanceolata" "Dipterocarpaceae" 135.5 1.441 "5" "4.2" NA "4B4A2" 604201.388 647106.226 84.73450384 "Dry" 0.62
"6823" "508/2" "A2" "Alluvial" 3.2 4 "C" 1 "8" "Dryobalanops" "Dryobalanops_lanceolata" "Dipterocarpaceae" 135 1.431 "5" "4.55" NA "1C4A2" 604229.8178 647091.7724 80.44008019 "Dry" 0.62
"8061" "292/2" "S1" "Sandstone" 0.1 1 "B" 2 "31" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 43.5 0.149 "3" NA NA "2B1S1" 603323.2575 647290.4063 90.10092511 "Hbec" 0.653333333333333
"8188" "292/2" "S1" "Sandstone" 0.2 1 "D" 1 "7" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 33 0.085 "3" NA NA "1D1S1" 603352.7063 647296.1305 97.70894478 "Hbec" 0.653333333333333
"8615" "292/2" "S1" "Sandstone" 0.4 1 "I" 3 "48" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 34.7 0.095 "3" NA NA "3I1S1" 603319.1655 647259.0494 86.76074432 "Hbec" 0.653333333333333
"11220" "292/2" "S1" "Sandstone" 2 2 "W" 2 "36" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 43.7 0.15 "4" NA NA "2W2S1" 603446.5012 647232.8651 141.8179567 "Hbec" 0.653333333333333
"12455" "292/2" "S1" "Sandstone" 2.8 3 "R" 4 "63" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 43.3 0.147 "5" NA NA "4R3S1" 603453.8577 647142.6106 112.9958355 "Hbec" 0.653333333333333
"12535" "292/2" "S1" "Sandstone" 2.8 3 "T" 2 "14" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 36.7 0.106 "4" NA NA "2T3S1" 603422.5008 647146.7026 115.3326344 "Hbec" 0.653333333333333
"12804" "292/2" "S1" "Sandstone" 3.2 3 "X" 4 "46" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 33.9 0.09 "3" NA NA "4X3S1" 603479.2145 647116.9779 115.7108854 "Hbec" 0.653333333333333
"12913" "292/2" "S1" "Sandstone" 3.2 4 "A" 4 "54" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 36.6 0.105 "3" NA NA "4A4S1" 603316.7057 647166.8867 97.94832474 "Hbec" 0.653333333333333
"13033" "292/2" "S1" "Sandstone" 3.2 4 "C" 2 "34" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 41.5 0.135 "4" NA NA "2C4S1" 603361.9709 647196.0597 104.7836549 "Hbec" 0.653333333333333
"13371" "292/2" "S1" "Sandstone" 3.6 4 "H" 2 "24" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 38.6 0.117 "4" NA NA "2H4S1" 603355.9708 647174.5191 105.537815 "Hbec" 0.653333333333333
"13474" "292/2" "S1" "Sandstone" 3.6 4 "J" 1 "7" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 39.5 0.122 "5" NA NA "1J4S1" 603316.7057 647166.8867 103.7909154 "Hbec" 0.653333333333333
"13543" "292/2" "S1" "Sandstone" 3.6 4 "K" 1 "7" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 36.7 0.106 "4" NA NA "1K4S1" 603310.7057 647145.3461 109.760411 "Hbec" 0.653333333333333
"13897" "292/2" "S1" "Sandstone" 4 4 "R" 1 "17" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 36.3 0.103 "4" NA NA "1R4S1" 603365.5113 647125.4378 117.0518035 "Hbec" 0.653333333333333
"14264" "292/2" "S1" "Sandstone" 4 4 "X" 1 "7" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 41.2 0.133 "4" NA NA "1X4S1" 603387.0519 647119.4377 125.4125254 "Hbec" 0.653333333333333
"14397" "292/3" "S2" "Sandstone" 0.1 1 "A" 1 "2" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 45.2 0.16 "3" NA NA "1A1S2" 603186.7873 648248.173 96.86653734 "Hbec" 0.653333333333333
"14737" "292/3" "S2" "Sandstone" 0.3 1 "H" 2 "8" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 50.6 0.201 "4" NA NA "2H1S2" 603238.1997 648226.9202 83.34094391 "Hbec" 0.653333333333333
"15109" "292/3" "S2" "Sandstone" 0.7 1 "P" 2 "27" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 41.3 0.134 "4" NA NA "2P1S2" 603279.8385 648185.8569 98.61960472 "Hbec" 0.653333333333333
"15454" "292/3" "S2" "Sandstone" 0.9 1 "V" 1 "1" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 39.2 0.121 "3" NA NA "1V1S2" 603209.767 648169.3174 93.51240023 "Hbec" 0.653333333333333
"15704" "292/3" "S2" "Sandstone" 1.2 2 "A" 3 "17" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 51.7 0.21 "3" NA NA "3A2S2" 603298.8037 648234.7414 94.53582565 "Hbec" 0.653333333333333
"15977" "292/3" "S2" "Sandstone" 1.4 2 "G" 1 "3" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 33 0.085 "3" NA NA "1G2S2" 603349.7636 648223.0187 98.74659477 "Hbec" 0.653333333333333
"16373" "292/3" "S2" "Sandstone" 1.6 2 "O" 3 "32" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 33.7 0.089 "5" NA NA "3O2S2" 603380.7152 648191.6498 95.79470459 "Hbec" 0.653333333333333
"16383" "292/3" "S2" "Sandstone" 1.6 2 "O" 4 "38" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 33.3 0.087 "4" NA NA "4O2S2" 603370.6008 648192.0616 96.6454644 "Hbec" 0.653333333333333
"16555" "292/3" "S2" "Sandstone" 1.8 2 "R" 4 "67" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 34.6 0.094 "4" NA NA "4R2S2" 603330.5856 648173.6961 102.3647248 "Hbec" 0.653333333333333
"16587" "292/3" "S2" "Sandstone" 1.8 2 "S" 2 "21" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 41.4 0.135 "3" NA NA "2S2S2" 603320.2592 648184.1334 99.69877239 "Hbec" 0.653333333333333
"17106" "292/3" "S2" "Sandstone" 2.4 3 "B" 4 "33" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 34.3 0.092 "4" NA NA "4B3S2" 603311.3529 648134.7228 84.92582733 "Hbec" 0.653333333333333
"17167" "292/3" "S2" "Sandstone" 2.4 3 "C" 4 "55" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 37.8 0.112 "3" NA NA "4C3S2" 603331.4707 648133.6705 91.86411196 "Hbec" 0.653333333333333
"17168" "292/3" "S2" "Sandstone" 2.4 3 "C" 4 "60" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 37 0.107 "4" NA NA "4C3S2" 603331.4707 648133.6705 91.86411196 "Hbec" 0.653333333333333
"17271" "292/3" "S2" "Sandstone" 2.4 3 "E" 3 "39" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 38.4 0.116 "4" NA NA "3E3S2" 603371.8906 648121.4834 105.7318071 "Hbec" 0.653333333333333
"17450" "292/3" "S2" "Sandstone" 2.4 3 "H" 3 "36" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 30.2 0.072 "3" NA NA "3H3S2" 603341.9537 648113.0935 86.66710396 "Hbec" 0.653333333333333
"17623" "292/3" "S2" "Sandstone" 2.8 3 "L" 3 "21" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 38 0.113 "4" NA NA "3L3S2" 603322.3339 648094.2472 95.42226448 "Hbec" 0.653333333333333
"18315" "292/3" "S2" "Sandstone" 3.2 3 "Y" 3 "27" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 54.8 0.236 "5" NA NA "3Y3S2" 603373.3648 648040.8227 91.3415689 "Hbec" 0.653333333333333
"18316" "292/3" "S2" "Sandstone" 3.2 3 "Y" 3 "43" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 37.4 0.11 "4" NA NA "3Y3S2" 603373.3648 648040.8227 91.3415689 "Hbec" 0.653333333333333
"18594" "292/3" "S2" "Sandstone" 3.2 4 "E" 3 "35" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 34.1 0.091 "3" NA NA "3E4S2" 603281.1762 648136.3011 84.16779997 "Hbec" 0.653333333333333
"18847" "292/3" "S2" "Sandstone" 3.6 4 "J" 1 "7" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 34.2 0.092 "4" NA NA "1J4S2" 603190.9969 648131.2965 81.85536869 "Hbec" 0.653333333333333
"19144" "292/3" "S2" "Sandstone" 3.6 4 "O" 1 "1" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 39.3 0.121 "4" NA NA "1O4S2" 603271.9477 648107.1509 94.31437177 "Hbec" 0.653333333333333
"19232" "292/3" "S2" "Sandstone" 4 4 "Q" 1 "8" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 40.8 0.131 "5" NA NA "1Q4S2" 603252.4759 648088.6095 102.0616049 "Hbec" 0.653333333333333
"19374" "292/3" "S2" "Sandstone" 4 4 "S" 4 "43" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 55.6 0.243 "4" NA NA "4S4S2" 603212.7576 648081.3171 98.17620047 "Hbec" 0.653333333333333
"19510" "292/3" "S2" "Sandstone" 4 4 "V" 1 "1" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 40.2 0.127 "4" NA NA "1V4S2" 603213.0899 648071.5393 95.21595459 "Hbec" 0.653333333333333
"19910" "508/3" "S3" "Sandstone" 0.2 1 "E" 1 "12" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 31.5 0.078 "2" "1.3" NA "1E1S3" 603845.7822 647932.0136 130.8329478 "Hbec" 0.653333333333333
"19938" "508/3" "S3" "Sandstone" 0.2 1 "E" 3 "40" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 32.5 0.083 "3" "2.4" NA "3E1S3" 603834.4019 647923.5069 124.6017761 "Hbec" 0.653333333333333
"19946" "508/3" "S3" "Sandstone" 0.2 1 "E" 4 "46" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 40.9 0.131 "3" "1.3" NA "4E1S3" 603835.5166 647933.1722 126.7977092 "Hbec" 0.653333333333333
"20641" "508/3" "S3" "Sandstone" 0.7 1 "Q" 2 "33" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 43.1 0.146 "4" "1.3" NA "2Q1S3" 603785.2793 647948.487 119.7569249 "Hbec" 0.653333333333333
"20910" "508/3" "S3" "Sandstone" 0.9 1 "V" 2 "11" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 33 0.085 "3" "1.3" NA "2V1S3" 603769.0626 647988.6042 107.4125304 "Hbec" 0.653333333333333
"21231" "508/3" "S3" "Sandstone" 1.2 2 "B" 3 "21" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 67.1 0.353 "4" "1.3" NA "3B2S3" 603819.7016 647886.1476 106.6142555 "Hbec" 0.653333333333333
"21306" "508/3" "S3" "Sandstone" 1.2 2 "C" 4 "64" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 61.6 0.298 "5" "1.6" NA "4C2S3" 603818.5917 647876.511 105.7321536 "Hbec" 0.653333333333333
"21831" "508/3" "S3" "Sandstone" 1.6 2 "M" 2 "24" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 47.1 0.174 "4" "1.9" NA "2M2S3" 603786.7861 647870.9531 107.4081893 "Hbec" 0.653333333333333
"21846" "508/3" "S3" "Sandstone" 1.6 2 "M" 3 "34" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 54.1 0.23 "3" "1.3" NA "3M2S3" 603776.5542 647872.3127 108.0672951 "Hbec" 0.653333333333333
"22110" "508/3" "S3" "Sandstone" 1.8 2 "R" 2 "20" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 45.8 0.165 "4" "1.3" NA "2R2S3" 603766.3223 647873.6723 105.9002677 "Hbec" 0.653333333333333
"22533" "508/3" "S3" "Sandstone" 2.4 3 "A" 1 "7" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 54.2 0.231 "4" "2.1" NA "1A3S3" 603730.7276 647926.0018 103.451387 "Hbec" 0.653333333333333
"22767" "508/3" "S3" "Sandstone" 2.4 3 "E" 3 "38" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 33.2 0.087 "2" "1.3" NA "3E3S3" 603710.9156 647843.0722 134.1768484 "Hbec" 0.653333333333333
"22998" "508/3" "S3" "Sandstone" 2.4 3 "I" 4 "33" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 59.6 0.279 "5" "1.6" NA "4I3S3" 603697.8553 647911.0657 108.3788919 "Hbec" 0.653333333333333
"23338" "508/3" "S3" "Sandstone" 2.8 3 "R" 1 "8" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 33.2 0.087 "4" "1.3" NA "1R3S3" 603665.0409 647896.4742 116.1858284 "Hbec" 0.653333333333333
"23655" "508/3" "S3" "Sandstone" 3.2 3 "X" 1 "7" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 36 0.102 "4" "1.3" NA "1X3S3" 603642.5112 647880.8389 107.9657236 "Hbec" 0.653333333333333
"23832" "508/3" "S3" "Sandstone" 3.2 4 "A" 3 "48" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 47.3 0.176 "4" "1.3" NA "3A4S3" 603740.3268 648010.4057 101.0515716 "Hbec" 0.653333333333333
"24019" "508/3" "S3" "Sandstone" 3.2 4 "D" 3 "35" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 32.5 0.083 "3" "1.3" NA "3D4S3" 603733.9273 647954.1364 109.1390973 "Hbec" 0.653333333333333
"24181" "508/3" "S3" "Sandstone" 3.6 4 "G" 3 "31" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 31.4 0.077 "4" "1.3" NA "3G4S3" 603713.3865 647956.3962 103.121842 "Hbec" 0.653333333333333
"24532" "508/3" "S3" "Sandstone" 3.6 4 "L" 4 "51" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 33 0.085 "2" "1.3" NA "4L4S3" 603698.0825 648004.9728 104.3424887 "Hbec" 0.653333333333333
"24968" "508/3" "S3" "Sandstone" 4 4 "T" 1 "11" "Hopea" "Hopea_beccariana" "Dipterocarpaceae" 48.9 0.188 "3" "1.55" NA "1T4S3" 603689.8731 648024.4284 96.3766045 "Hbec" 0.653333333333333
"650" "292/1" "A1" "Alluvial" 0.8 1 "R" 3 "12" "Parashorea" "Parashorea_malaanonan" "Dipterocarpaceae" 104.7 0.861 "5" NA NA "3R1A1" 604347.3901 648197.5678 73.71769838 "Pmal" 0.415
"747" "292/1" "A1" "Alluvial" 0.8 1 "T" 4 "45" "Parashorea" "Parashorea_malaanonan" "Dipterocarpaceae" 106.7 0.894 "5" NA NA "4T1A1" 604286.2124 648205.9471 74.49478348 "Pmal" 0.415
"1038" "292/1" "A1" "Alluvial" 1.2 2 "E" 1 "12" "Parashorea" "Parashorea_malaanonan" "Dipterocarpaceae" 92.4 0.67 "5" NA NA "1E2A1" 604479.9978 648271.6171 71.34666669 "Pmal" 0.415
"2174" "292/1" "A1" "Alluvial" 2.8 3 "M" 3 "19" "Parashorea" "Parashorea_malaanonan" "Dipterocarpaceae" 97.7 0.749 "5" NA NA "3M3A1" 604449.3543 648120.2831 67.46777336 "Pmal" 0.415
"2516" "292/1" "A1" "Alluvial" 3.2 3 "V" 3 "19" "Parashorea" "Parashorea_malaanonan" "Dipterocarpaceae" 77.4 0.47 "5" NA NA "3V3A1" 604428.9097 648079.2443 69.42289299 "Pmal" 0.415
"4847" "508/2" "A2" "Alluvial" 1.2 2 "C" 4 "30" "Parashorea" "Parashorea_malaanonan" "Dipterocarpaceae" 77.8 0.475 NA "3.1" NA "4C2A2" 604365.2974 647082.2844 70.17919326 "Pmal" 0.415
"5106" "508/2" "A2" "Alluvial" 1.4 2 "J" 4 "34" "Parashorea" "Parashorea_malaanonan" "Dipterocarpaceae" 81.2 0.518 NA "3.8" NA "4J2A2" 604322.3992 647097.4363 70.24810923 "Pmal" 0.415
"6357" "508/2" "A2" "Alluvial" 2.8 3 "P" 4 "30" "Parashorea" "Parashorea_malaanonan" "Dipterocarpaceae" 79.4 0.495 "5" "3.2" NA "4P3A2" 604279.2802 646943.3551 70.50427807 "Pmal" 0.415
"100" "292/1" "A1" "Alluvial" 0.2 1 "D" 2 "10" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 110.2 0.953 "5" NA NA "2D1A1" 604367.8838 648269.0768 74.50499367 "Ptom" 0.52
"175" "292/1" "A1" "Alluvial" 0.3 1 "F" 4 "25" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 79.6 0.497 "3" NA NA "4F1A1" 604378.0391 648238.9551 72.25648354 "Ptom" 0.52
"199" "292/1" "A1" "Alluvial" 0.3 1 "G" 3 "23" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 106.1 0.884 "5" NA NA "3G1A1" 604367.8436 648238.6922 75.45835667 "Ptom" 0.52
"309" "292/1" "A1" "Alluvial" 0.4 1 "I" 4 "43" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 93.8 0.691 "5" NA NA "4I1A1" 604316.8659 648237.3772 78.27596448 "Ptom" 0.52
"318" "292/1" "A1" "Alluvial" 0.4 1 "J" 1 "7" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 117.3 1.08 "5" NA NA "1J1A1" 604286.324 648257.0157 78.23584641 "Ptom" 0.52
"325" "292/1" "A1" "Alluvial" 0.4 1 "J" 2 "10" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 97.7 0.749 "5" NA NA "2J1A1" 604296.5173 648257.2573 78.52836646 "Ptom" 0.52
"340" "292/1" "A1" "Alluvial" 0.5 1 "K" 1 "7" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 169 2.242 "5" NA NA "1K1A1" 604286.2793 648236.5883 72.57354649 "Ptom" 0.52
"416" "292/1" "A1" "Alluvial" 0.5 1 "L" 4 "29" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 54.2 0.231 "4" NA NA "4L1A1" 604316.828 648217.0139 78.04544388 "Ptom" 0.52
"422" "292/1" "A1" "Alluvial" 0.5 1 "M" 1 "12" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 67.2 0.354 "4" NA NA "1M1A1" 604337.2403 648227.7429 81.97603373 "Ptom" 0.52
"515" "292/1" "A1" "Alluvial" 0.6 1 "O" 2 "17" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 74.6 0.437 "4" NA NA "2O1A1" 604388.2235 648229.1113 69.75921341 "Ptom" 0.52
"597" "292/1" "A1" "Alluvial" 0.7 1 "Q" 2 "17" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 52.1 0.213 "4" NA NA "2Q1A1" 604367.8034 648208.3075 75.34759346 "Ptom" 0.52
"834" "292/1" "A1" "Alluvial" 0.9 1 "W" 2 "18" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 130.7 1.341 "5" NA NA "2W1A1" 604347.3744 648187.4182 70.89762033 "Ptom" 0.52
"955" "292/1" "A1" "Alluvial" 1.2 2 "B" 2 "18" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 85 0.567 "5" NA NA "2B2A1" 604429.0369 648270.4624 70.52719139 "Ptom" 0.52
"1211" "292/1" "A1" "Alluvial" 1.4 2 "I" 3 "28" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 83.1 0.542 "5" NA NA "3I2A1" 604429.0168 648240.2701 67.63453316 "Ptom" 0.52
"1249" "292/1" "A1" "Alluvial" 1.6 2 "K" 1 "2" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 102.1 0.818 "5" NA NA "1K2A1" 604398.4202 648229.3849 69.19350327 "Ptom" 0.52
"1292" "292/1" "A1" "Alluvial" 1.6 2 "L" 2 "10" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 62.4 0.306 "4" NA NA "2L2A1" 604429.0101 648230.206 67.90099342 "Ptom" 0.52
"1320" "292/1" "A1" "Alluvial" 1.6 2 "M" 1 "3" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 78.4 0.483 "5" NA NA "1M2A1" 604439.2068 648230.4796 67.36435994 "Ptom" 0.52
"1437" "292/1" "A1" "Alluvial" 1.8 2 "P" 3 "15" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 104.7 0.861 "5" NA NA "3P2A1" 604490.19 648201.848 66.77006317 "Ptom" 0.52
"1579" "292/1" "A1" "Alluvial" 1.8 2 "T" 4 "31" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 113 1.002 "5" NA NA "4T2A1" 604398.39 648199.0964 73.69619354 "Ptom" 0.52
"1845" "292/1" "A1" "Alluvial" 2.4 3 "C" 3 "21" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 57.2 0.257 "4" NA NA "3C3A1" 604449.3722 648160.4541 69.24197372 "Ptom" 0.52
"2121" "292/1" "A1" "Alluvial" 2.8 3 "L" 2 "16" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 93.3 0.683 "5" NA NA "2L3A1" 604428.9432 648129.5648 67.77938566 "Ptom" 0.52
"2235" "292/1" "A1" "Alluvial" 2.8 3 "O" 3 "24" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 73.7 0.426 "5" NA NA "3O3A1" 604490.19 648121.848 67.91053322 "Ptom" 0.52
"2721" "292/1" "A1" "Alluvial" 3.2 4 "B" 4 "28" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 52 0.212 "2" NA NA "4B4A1" 604316.7142 648155.924 68.94151306 "Ptom" 0.52
"3005" "292/1" "A1" "Alluvial" 3.6 4 "K" 3 "13" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 71.9 0.406 "5" NA NA "3K4A1" 604306.4294 648114.8062 70.98137583 "Ptom" 0.52
"3293" "292/1" "A1" "Alluvial" 4 4 "S" 3 "20" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 124.9 1.225 "5" NA NA "3S4A1" 604326.8115 648095.2467 74.73261345 "Ptom" 0.52
"3343" "292/1" "A1" "Alluvial" 4 4 "T" 4 "35" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 119.3 1.117 "5" NA NA "4T4A1" 604296.1781 648094.0089 75.16452354 "Ptom" 0.52
"3526" "292/1" "A1" "Alluvial" 4 4 "Y" 2 "11" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 94.4 0.7 "5" NA NA "2Y4A1" 604388.0673 648087.6153 69.89024847 "Ptom" 0.52
"3538" "292/1" "A1" "Alluvial" 4 4 "Y" 3 "30" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 86.7 0.59 "5" NA NA "3Y4A1" 604388.0561 648077.5085 69.70346943 "Ptom" 0.52
"3564" "508/2" "A2" "Alluvial" 0.1 1 "A" 1 "10" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 59 0.273 "4" "1.3" NA "1A1A2" 604264.9473 647198.3217 80.15509934 "Ptom" 0.52
"4047" "508/2" "A2" "Alluvial" 0.5 1 "K" 1 "5" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 65.3 0.335 "5" "2.7" NA "1K1A2" 604236.663 647170.0375 78.94916571 "Ptom" 0.52
"4096" "508/2" "A2" "Alluvial" 0.5 1 "L" 1 "6" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 71.6 0.402 "5" "3.6" NA "1L1A2" 604250.9558 647155.5731 72.32330976 "Ptom" 0.52
"4129" "508/2" "A2" "Alluvial" 0.6 1 "M" 3 "18" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 87.4 0.6 "5" "2.1" NA "3M1A2" 604272.44 647119.6377 70.65653431 "Ptom" 0.52
"4175" "508/2" "A2" "Alluvial" 0.6 1 "N" 3 "28" "Parashorea" "Parashorea_tomentella" "Dipterocarpaceae" 58.9 0.272 "4" "1.6" NA "3N1A2" 604286.7226 647105.1948 73.82949865 "Ptom" 0.52
