"sp" "mother" "block" "treat" "mort" "diameter" "height" "leaves" "lBio" "sBio" "rBio" "rootTstem" "dden" "si" "raden" "slm" "p50" "fden" "Dden" "wet" "fleaf" "rgr" "leafTwood" "local" "surv" "name" "A" "Adate" "E" "rTs" "lTb"
"29" "spar" "Spar_1" "A" 12 0 4.49 372 7 1289.35193070299 1261.1238025614 1128.75847240516 0.895041763633832 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" 0.0990501863857561 0.350440297797882 "sfr" 1 "A29" NA NA NA 1.18152048315931 0.298487653517437
"30" "sjoh" "SJ_m_5" "A" 6 0 4.01 335 9 3297.74751511819 1110.76571953056 1003.47159159057 0.903405258144503 0.4 0.0449 0.19 4.73 -1.52793042721657 0.687730287 0.287730287 "wet" "high" 0.103363266489032 0.609341604050603 "mal" 1 "A30" NA NA NA 1.44202945767578 0.242364619261867
"31" "ptom" "All_Ptom_4" "A" 15 1 3.67 254 5 981.915115206292 567.017450146103 588.646303975372 1.03814495272358 0.31 0.0262 0.13 4.92 -1.11733744698828 NA NA "wet" "high" NA 0.459358543114289 "sfr" 0 "A31" NA NA NA 1.25739196337714 0.290252763040932
"32" "sbec" "Sbec_Sfr" "A" 18 0 5.65 430 6 2900.78491821446 3146.10794220192 1950.72279570932 0.620043187184491 0.41 0.037 0.1 5.37 -1.58199721886186 0.521862298 0.111862298 "wet" "high" 0.0184622352473516 0.362706216820088 "sfr" 1 "A32" NA NA NA 0.723698094365868 0.326628969784602
"33" "sbec" "Sbec_Sfr" "A" 12 1 4.72 380 6 2553.29303972619 2557.92039858057 1532.36213161976 0.599065605196351 0.41 0.037 0.1 5.37 -1.58199721886186 NA NA "wet" "high" 0.0781995187290433 0.384325129269875 "sfr" 0 "A33" 0.07 "12.08.2015" 1.08 0.723698094365868 0.326628969784602
"34" "dry" "DL_m_3" "A" 21 0 4.33 460 11 2176.7935730348 1826.440482277 1130.50399713182 0.618965692067028 0.59 0.0372 0.12 5.43 -2.95831330249817 0.62127856 0.0312785600000001 "wet" "high" 0.0382748451349916 0.424017265937179 "mal" 1 "A34" NA NA NA 0.736364768672071 0.361645549985552
"35" "sjoh" "SJ_m_1" "A" 9 0 3.81 362 9 3454.82062001565 1149.19225201324 986.081797869092 0.858065128912591 0.4 0.0449 0.19 4.73 -1.52793042721657 0.6366171 0.2366171 "wet" "high" 0.111594339807086 0.618025422470833 "mal" 1 "A35" -1.77 "07.08.2015" 0.5 1.44202945767578 0.242364619261867
"36" "ssmi" "Ssmi_5" "A" 12 1 6.29 354 5 2482.49384204581 3359.92001782745 2610.68968379476 0.777009473422779 0.31 0.0293 0.13 4.63 -1.11733744698828 NA NA "wet" "high" NA 0.293678390335745 "sfr" 0 "A36" 0.23 "31.07.2015" 0.91 0.881318758953821 0.249740528331436
"37" "sbec" "SHOREABECCARINA_Sbec" "A" 9 0 6.1 432 4 1801.16502417302 2975.76617422037 1973.68271387748 0.66325194868329 0.41 0.037 0.1 5.37 -1.58199721886186 0.433136313 0.023136313 "wet" "high" 0.0621347053811117 0.266814996025616 "sfr" 1 "A37" NA NA NA 0.723698094365868 0.326628969784602
"38" "pmal" "Pm_m_4" "A" 15 1 3.8 285 5 916.452549856014 863.520359344651 898.595017367137 1.04061821779061 0.39 0.0313 0.15 4.96 -1.47571143778228 NA NA "wet" "high" NA 0.342142732602012 "mal" 0 "A38" -0.33 "07.08.2015" 0.48 1.10821933463314 0.307792273027868
"39" "slep" "Slep_1" "A" 21 0 4.87 369 7 1163.73771961187 1079.96074245873 898.967872630408 0.832407917517207 0.42 0.055 0.25 4.44 -1.63797719837667 0.474721637 0.054721637 "wet" "high" 0.0807890800425755 0.370302665212019 "sfr" 1 "A39" -0.05 "07.08.2015" 0.58 1.03017923451197 0.246401415393927
"40" "spar" "SP_m_5" "A" 15 1 4.12 428 8 2070.39525978886 1764.69360229865 1508.19144048106 0.854647763507798 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" NA 0.387476445657099 "mal" 0 "A40" NA NA NA 1.18152048315931 0.298487653517437
"41" "pmal" "12H_Pmal_1" "A" 6 0 2.65 124 3 257.060817743547 280.636020436952 485.954979206519 1.73162011936274 0.39 0.0313 0.15 4.96 -1.47571143778228 0.757323689 0.367323689 "wet" "high" 0.00865967536134093 0.251121341629347 "sfr" 1 "A41" 0.06 "12.08.2015" 0.59 1.10821933463314 0.307792273027868
"42" "pmal" "9L_Pmal_7" "A" 21 1 3.28 283 7 1611.94257524845 801.586149359055 834.062672145026 1.0405153242879 0.39 0.0313 0.15 4.96 -1.47571143778228 0.687405542 0.297405542 "wet" "high" 0.0351660760505592 0.496350180278323 "sfr" 0 "A42" NA NA NA 1.10821933463314 0.307792273027868
"43" "sjoh" "ou_SJoh" "A" 0 0 2.65 275 4 477.295920328083 465.310683256674 534.74162693394 1.14921416201176 0.4 0.0449 0.19 4.73 -1.52793042721657 0.397827363 -0.00217263700000003 "dry" "high" 0.0638312702656895 0.323076110606979 "sfr" 1 "A43" -0.09 "07.08.2015" 0.68 1.44202945767578 0.242364619261867
"44" "spar" "Sp_m_4" "A" 0 0 3.91 322 7 1738.11465593028 1279.56312604818 1397.12959476424 1.09188016309844 0.36 0.0423 0.2 4.81 -1.32952049012629 0.387030995 0.027030995 "dry" "high" 0.115968471021827 0.39370113067372 "mal" 1 "A44" 5.81 "31.07.2015" 2.21 1.18152048315931 0.298487653517437
"45" "dry" "DL_Tawau" "A" 6 0 5.54 510 24 6687.38127691616 5049.16474313085 2627.90683570914 0.520463674568013 0.59 0.0372 0.12 5.43 -2.95831330249817 0.558047166 -0.0319528339999999 "wet" "high" 0.150358309875324 0.465550713561386 "taw" 1 "A45" -0.16 "07.08.2015" 0.28 0.736364768672071 0.361645549985552
"46" "sbec" "SHOREABECCARINA_Sbec" "A" 12 0 5.87 365 6 2695.95599569644 2834.58226685647 1866.55522594309 0.658493933221802 0.41 0.037 0.1 5.37 -1.58199721886186 0.515021955 0.105021955 "wet" "high" 0.0185520066346333 0.364461528016268 "sfr" 1 "A46" NA NA NA 0.723698094365868 0.326628969784602
"47" "dry" "DL_m_6" "A" 18 0 2.59 295 9 891.023933531972 537.025703301728 560.04523738033 1.04286486463697 0.59 0.0372 0.12 5.43 -2.95831330249817 0.541941716 -0.048058284 "wet" "high" 0.151854682909751 0.448179785124303 "mal" 1 "A47" 0.23 "30.07.2015" 0.44 0.736364768672071 0.361645549985552
"48" "ptom" "Pt_m_4" "A" 6 0 3.33 278 4 637.435734132059 496.979841066991 481.286741609382 0.968423066368413 0.31 0.0262 0.13 4.92 -1.11733744698828 0.616982507 0.306982507 "wet" "high" -0.0114491661200317 0.394525481272574 "mal" 1 "A48" NA NA NA 1.25739196337714 0.290252763040932
"49" "slep" "SL_m_72" "A" 6 0 3.41 340 9 2352.51904283548 734.735152905492 648.486348605924 0.882612389024128 0.42 0.055 0.25 4.44 -1.63797719837667 0.54757536 0.12757536 "wet" "high" 0.139565566009843 0.62973298464087 "mal" 1 "A49" NA NA NA 1.03017923451197 0.246401415393927
"50" "pmal" "Pmal_1_RDC" "A" 18 1 4.45 389 7 2164.35473894864 1566.75743142641 1337.2767150251 0.853531432627458 0.39 0.0313 0.15 4.96 -1.47571143778228 NA NA "wet" "high" NA 0.427030124934418 "sfr" 0 "A50" NA NA NA 1.10821933463314 0.307792273027868
"51" "sbec" "SHOREABECCARINA_Sbec" "A" 18 0 4.91 310 7 3252.98793416208 2290.35095359938 1504.39113265801 0.656838695525591 0.41 0.037 0.1 5.37 -1.58199721886186 0.386004857 -0.023995143 "wet" "high" 0.00779832231416295 0.461565344406945 "sfr" 1 "A51" NA NA NA 0.723698094365868 0.326628969784602
"52" "sjoh" "8m_SJoh_6" "A" 18 1 2.77 256 6 1018.55606116369 491.704940635346 580.82405163552 1.18124509972387 0.4 0.0449 0.19 4.73 -1.52793042721657 NA NA "wet" "high" NA 0.487094515591672 "sfr" 0 "A52" -1.25 "30.07.2015" 0.32 1.44202945767578 0.242364619261867
"53" "sjoh" "8L_SJoh_50" "A" 0 0 4.27 322 6 1343.24602942406 998.184193485695 943.186758321704 0.944902518470125 0.4 0.0449 0.19 4.73 -1.52793042721657 0.348696869 -0.051303131 "dry" "high" 0.207020661691992 0.408950583005405 "sfr" 1 "A53" 3.64 "12.08.2015" 1.01 1.44202945767578 0.242364619261867
"54" "spar" "Sp_m_1" "A" 21 1 4.4 397 10 2202.37318025976 1606.16135818939 1365.01669773482 0.84986274310172 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" 0.0262011597184328 0.425698534665376 "mal" 0 "A54" -0.46 "30.07.2015" 0.49 1.18152048315931 0.298487653517437
"55" "ssem" "Ssem_ou" "A" 9 0 4.04 277 4 550.536093831163 753.399309445681 811.777885836793 1.07748689925674 0.72 0.014 0.12 5.16 -4.64913263523571 0.811947627 0.091947627 "wet" "high" 0.0554633763890289 0.260212996091643 "mal" 1 "A55" 1.71 "30.07.2015" 0.59 1.02239348582335 0.257097042694379
"56" "ssmi" "Ssmi_4" "A" 3 0 7.32 522 6 3130.91748089953 5407.33307643946 3963.06524521968 0.732905702163481 0.31 0.0293 0.13 4.63 -1.11733744698828 0.465951743 0.155951743 "wet" "high" 0.0939949931916053 0.250447035363967 "sfr" 1 "A56" 3.3 "31.07.2015" 1.47 0.881318758953821 0.249740528331436
"57" "ptom" "Ptom_4" "A" 9 0 4.71 240 7 2274.90274086689 1019.86051800985 1132.13357361619 1.11008667717173 0.31 0.0262 0.13 4.92 -1.11733744698828 0.581717944 0.271717944 "wet" "high" 0.0649636032144077 0.513882032255497 "sfr" 1 "A57" -0.34 "31.07.2015" 0.56 1.25739196337714 0.290252763040932
"58" "sjoh" "8m_SJoh_7" "A" 15 1 3.98 278 7 1658.1626058588 834.072852682952 856.035152653012 1.02633139287463 0.4 0.0449 0.19 4.73 -1.52793042721657 0.562646645 0.162646645 "wet" "high" -0.0646568723511392 0.495229567262222 "sfr" 0 "A58" NA NA NA 1.44202945767578 0.242364619261867
"59" "pmal" "8L_Pmal_9" "A" 15 1 4.78 310 7 2031.26434151171 1372.9092874101 1323.56918217827 0.964061642175277 0.39 0.0313 0.15 4.96 -1.47571143778228 0.684407096 0.294407096 "wet" "high" 0.0546291604461673 0.429647809255314 "sfr" 0 "A59" 0.53 "12.08.2015" 0.59 1.10821933463314 0.307792273027868
"60" "ptom" "Ptom_2_RDC" "A" 9 1 3.31 177 6 1178.15819776843 371.632669581275 449.350284942894 1.20912482061705 0.31 0.0262 0.13 4.92 -1.11733744698828 NA NA "wet" "high" NA 0.589332172176701 "sfr" 0 "A60" -0.02 "07.08.2015" 0.2 1.25739196337714 0.290252763040932
"61" "slep" "Slep_m_122" "A" 0 0 4.24 375 16 18609.0930998806 1428.99166710714 1089.3696775221 0.762334520625601 0.42 0.055 0.25 4.44 -1.63797719837667 0.358832175 -0.061167825 "dry" "high" 0.206727861210988 0.880801477942192 "sfr" 1 "A61" 0.79 "12.08.2015" 0.48 1.03017923451197 0.246401415393927
"62" "sbec" "Sbec_Sfr" "A" 9 1 5.5 344 5 1915.64283370782 2469.55555386915 1630.14182712702 0.660095224249162 0.41 0.037 0.1 5.37 -1.58199721886186 NA NA "wet" "high" NA 0.318459599180308 "sfr" 0 "A62" NA NA NA 0.723698094365868 0.326628969784602
"63" "ssem" "Ssem_ou" "A" 3 0 4.35 265 6 1000.17311345296 888.642547343097 923.122654113145 1.03880087316676 0.72 0.014 0.12 5.16 -4.64913263523571 0.506232147 -0.213767853 "wet" "high" 0.0778562564321411 0.355688141574776 "mal" 1 "A63" NA NA NA 1.02239348582335 0.257097042694379
"64" "sxan" "8L_Sxan_10" "A" 12 1 3.53 222 8 2876.97669718361 741.66100264354 778.814201579228 1.05009458337874 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.654237217754106 "sfr" 0 "A64" -0.93 "07.08.2015" 0.24 1.13561314857521 0.36920464173473
"65" "sbec" "SHOREABECCARINA_Sbec" "A" 15 0 5.01 285 2 641.099387752614 1729.6771628619 1227.11852920522 0.709449460022266 0.41 0.037 0.1 5.37 -1.58199721886186 0.666837695 0.256837695 "wet" "high" 0.0565836952746987 0.178187349416742 "sfr" 1 "A65" NA NA NA 0.723698094365868 0.326628969784602
"66" "dry" "DL_Tawau" "A" 6 0 4.42 390 10 1743.37427742675 1453.43583128635 1013.77645966665 0.697503417656503 0.59 0.0372 0.12 5.43 -2.95831330249817 0.620974927 0.030974927 "wet" "high" 0.14029060446218 0.414045465902298 "taw" 1 "A66" -0.57 "31.07.2015" 0.41 0.736364768672071 0.361645549985552
"67" "ssmi" "Ssmi_5" "A" 18 0 4.66 350 3 1717.61174515385 1909.84810083667 1874.21695070174 0.981343463849653 0.31 0.0293 0.13 4.63 -1.11733744698828 0.513281522 0.203281522 "wet" "high" 0.0775368022983979 0.312197864146894 "sfr" 1 "A67" 0.52 "12.08.2015" 0.54 0.881318758953821 0.249740528331436
"68" "ssem" "SS" "A" 21 1 4.18 340 9 2299.26209225928 1214.48207972617 1099.71321968965 0.905499750097262 0.72 0.014 0.12 5.16 -4.64913263523571 NA NA "wet" "high" 0.0100196481505204 0.498381560087291 "sfr" 0 "A68" -1.14 "03.08.2015" 0.15 1.02239348582335 0.257097042694379
"69" "dry" "DL_m_7" "A" 0 0 5.26 570 17 4713.10986722593 3931.83131035025 2041.8575876132 0.519314646647775 0.59 0.0372 0.12 5.43 -2.95831330249817 0.461771245 -0.128228755 "dry" "high" 0.137473602238078 0.441021672699421 "mal" 1 "A69" NA NA NA 0.736364768672071 0.361645549985552
"70" "dry" "DL_m_6" "A" 0 0 2.74 270 7 555.718947347757 465.956900638725 520.346132837587 1.11672588628756 0.59 0.0372 0.12 5.43 -2.95831330249817 0.451549967 -0.138450033 "dry" "high" 0.219690194793983 0.360383285230977 "mal" 1 "A70" NA NA NA 0.736364768672071 0.361645549985552
"71" "pmal" "Pmal_Tawau" "A" 12 1 4.22 410 7 2160.86372029206 1582.80952732358 1287.81502943106 0.813626028400692 0.39 0.0313 0.15 4.96 -1.47571143778228 0.643227859 0.253227859 "wet" "high" 0.0220829463810495 0.429468101943071 "taw" 0 "A71" NA NA NA 1.10821933463314 0.307792273027868
"72" "sxan" "9K_Sxan_29" "A" 0 0 2.94 162 8 2847.01209710536 413.265531980813 581.942150021599 1.40815554404527 0.51 0.006 0.16 6.96 -2.23989199255121 0.48053401 -0.02946599 "dry" "high" 0.293037636114849 0.740981063234879 "sfr" 1 "A72" NA NA NA 1.13561314857521 0.36920464173473
"73" "dry" "Dl_m_4" "A" 12 0 5.78 542 10 2670.77189413868 2926.96082359967 1705.28804296537 0.582613893980362 0.59 0.0372 0.12 5.43 -2.95831330249817 0.534646176 -0.055353824 "wet" "high" 0.113162916785564 0.3657078326423 "mal" 1 "A73" 0.19 "07.08.2015" 0.31 0.736364768672071 0.361645549985552
"74" "sbec" "SHOREABECCARINA_Sbec" "A" 0 0 4.9 365 6 2531.63063770153 2512.22470762644 1554.29569869774 0.618692943341937 0.41 0.037 0.1 5.37 -1.58199721886186 0.35437683 -0.05562317 "dry" "high" 0.15459396158779 0.383687887835455 "sfr" 1 "A74" 1.28 "12.08.2015" 0.79 0.723698094365868 0.326628969784602
"75" "ssem" "SS" "A" 12 0 2.4 165 7 760.310495327547 302.617674215002 546.318241701458 1.80530844114978 0.72 0.014 0.12 5.16 -4.64913263523571 0.910207539 0.190207539 "wet" "high" 0.0628751409003162 0.472463688603039 "sfr" 1 "A75" NA NA NA 1.02239348582335 0.257097042694379
"76" "ssmi" "Ssmi_19" "A" 6 0 4.42 360 6 3873.93658273515 2114.32623971999 2050.95889923322 0.970029535037525 0.31 0.0293 0.13 4.63 -1.11733744698828 0.528939218 0.218939218 "wet" "high" 0.0772059945198282 0.481879554619569 "sfr" 1 "A76" 1.25 "30.07.2015" 0.61 0.881318758953821 0.249740528331436
"77" "ssmi" "9H_Ssmi_4" "A" 21 1 5.47 423 7 4437.91536389886 3398.20404389506 2719.53662766458 0.800286443231766 0.31 0.0293 0.13 4.63 -1.11733744698828 NA NA "wet" "high" NA 0.420430084969711 "sfr" 0 "A77" NA NA NA 0.881318758953821 0.249740528331436
"78" "sjoh" "SJ_m_4" "A" 12 1 3.79 382 6 1371.26567173981 1061.93497764744 898.732448403946 0.84631589251816 0.4 0.0449 0.19 4.73 -1.52793042721657 0.691891892 0.291891892 "wet" "high" -0.0386853741692711 0.411552582688064 "mal" 0 "A78" NA NA NA 1.44202945767578 0.242364619261867
"79" "ptom" "Ptom_2_RDC" "A" 0 0 4.25 252 3 595.612349300038 689.778647438549 759.039124049946 1.10040971385327 0.31 0.0262 0.13 4.92 -1.11733744698828 0.506057713 0.196057713 "dry" "high" 0.150803617475142 0.291334168501837 "sfr" 1 "A79" 2 "07.08.2015" 1.38 1.25739196337714 0.290252763040932
"80" "sjoh" "8m_SJoh_7" "A" 9 0 5.64 426 7 2259.94058546235 1927.34566869237 1615.80597684375 0.838358164334897 0.4 0.0449 0.19 4.73 -1.52793042721657 0.5052892 0.1052892 "wet" "high" 0.100297090025028 0.389437302648817 "sfr" 1 "A80" 0.11 "30.07.2015" 0.79 1.44202945767578 0.242364619261867
"81" "ssmi" "Ssmi_3A" "A" 9 0 3.35 263 5 2860.68755066493 1048.42341621373 1474.46156965339 1.40636077642967 0.31 0.0293 0.13 4.63 -1.11733744698828 0.583499463 0.273499463 "wet" "high" 0.200094257928154 0.531373457170451 "sfr" 1 "A81" NA NA NA 0.881318758953821 0.249740528331436
"82" "sjoh" "8m_SJoh_7" "A" 12 1 3.08 253 4 514.340020964707 491.464935887986 582.22617890031 1.18467491042537 0.4 0.0449 0.19 4.73 -1.52793042721657 NA NA "wet" "high" NA 0.323885350472565 "sfr" 0 "A82" NA NA NA 1.44202945767578 0.242364619261867
