"sp" "mother" "block" "treat" "mort" "diameter" "height" "leaves" "lBio" "wBio" "dden" "den" "si" "slm" "rgr" "leafArea" "A" "carbon.per.sec" "woody.carbon" "carbon.fraction" "Dden" "leafTwood" "carbon.per.sec2" "carbon.fraction2" "leafTtotal" "rootTstem" "CF" "Dcf"
"140" "slep" "12H_Slep_8" "A" 21 0 4.35 342 4 463.295564404444 757.952222454563 0.42 0.4 0.055 4.44 0.0762881162131116 104.345847838839 0.765185580385387 7.98439381393671 378.976111227281 0.00653789828718724 NA 0.611246396117293 7.98439381393671 0.00419947697879488 0.243675237273268 0.897200514439376 0.0138467526479274 -0.00964727566913252
"141" "sxan" "11H_Sxan_1" "A" 9 0 4.53 311 7 2266.22510786178 1637.07659841135 0.51 0.57 0.006 6.96 0.0509392243292564 325.607055727267 -0.19600851400908 -6.38217551439732 818.538299205677 -0.00163507102311366 0.0354697390000001 1.38431220021162 -6.38217551439733 -0.00124855243365333 0.443344258904212 0.738119572409381 0.00327295019169622 -0.00452150262534955
"144" "pmal" "All_Pmal_1" "A" 0 0 4.8 221 4 831.305920248995 948.383461880015 0.39 0.49 0.0313 4.96 NA 167.602000050201 1.62249915830254 27.1934104011272 474.191730940008 0.0152798632582705 0.084534603 0.876550418330858 27.1934104011273 0.00958795713428062 0.293105035788033 1.11401716429082 0.00610245022553465 0.00348550690874597
"145" "ssmi" "9H_Ssmi_4" "A" 18 0 6.25 474 8 4751.49026211821 4631.29128702365 0.31 0.37 0.0293 4.63 0.0989328135578692 1026.23979743374 0.435156045951985 44.6574452449832 2315.64564351183 0.00475951028072987 0.151642455 1.02595366338354 44.6574452449832 0.00349210023356527 0.371554623492264 0.735292189892471 0.0082218511221437 -0.00472975088857843
"147" "spar" "Sp_m_4" "A" 3 0 3.25 271 8 3053.99358738858 1324.93298531538 0.36 0.39 0.0423 4.81 0.235545649390188 634.925901743987 0.967572704486861 61.4336971899189 662.46649265769 0.0140293965130326 0.127811367 2.30501740181344 61.4336971899189 0.00984018426280723 0.489175501588837 1.40702846787293 0.00640743154576376 0.00343275271704347
"148" "dry" "DL_Tawau" "A" 9 0 5.39 500 16 3833.02590327176 3284.47690170479 0.59 0.42 0.0372 5.43 0.154267723266094 705.897956403639 0.583603310505661 41.1964384236345 1642.2384508524 0.00578804667204767 0.16895628 1.16701259225853 41.1964384236344 0.00459482308606853 0.427514527560414 0.562748660342675 0.00485143318773572 -0.000256610101667193
"149" "sxan" "9K_Sxan_2" "A" 3 0 4.17 174 4 881.777098012881 771.236268445185 0.51 0.57 0.006 6.96 0.0761566721778294 126.69211178346 0.316670196121661 4.01196158855356 385.618134222592 0.00242705937529716 NA 1.14332939734609 4.01196158855356 0.00164161407942274 0.360805473098348 1.02549558617749 0.00327295019169622 -0.00163133611227348
"151" "ssmi" "Ssmi_Tawau" "A" 9 0 5.83 499 6 3787.90582130686 4071.50449140526 0.31 0.37 0.0293 4.63 0.0817898131452888 818.122207625672 0.689915126023238 56.4434885976475 2035.75224570263 0.00718164421398811 0.125379284 0.930345485140182 56.4434885976475 0.00516980488290736 0.346944076234891 0.751197590148734 0.0082218511221437 -0.00305204623923634
"156" "pmal" "All_Pmal_1" "A" 9 0 3.97 252 5 914.287085731708 818.008516187883 0.39 0.49 0.0313 4.96 -0.0300050456013945 184.332073736232 0.401588458025661 7.40256332564057 409.004258093941 0.00427326797888169 0.306520822 1.11769873740741 7.40256332564056 0.00280906296423344 0.346946034532385 1.10383610132867 0.00610245022553465 -0.00329338726130121
"157" "sbec" "Sbec_Sfr" "A" 3 0 3.57 152 2 348.113528176587 832.864246613986 0.41 0.42 0.037 5.37 0.120888651356493 64.8256104611894 0.80588032930807 5.22416843060599 416.432123306993 0.00442359588988236 0.129328969 0.417971511674134 5.224168430606 0.00265754497551843 0.177086051111176 0.942301977126685 0.00323018376090687 -0.000572638785388436
