"sp" "mother" "block" "treat" "mort" "diameter" "height" "leaves" "lBio" "wBio" "dden" "den" "si" "slm" "rgr" "leafArea" "A" "carbon.per.sec" "woody.carbon" "carbon.fraction" "Dden" "leafTwood" "carbon.per.sec2" "carbon.fraction2" "leafTtotal" "rootTstem" "CF" "Dcf"
"204" "ptom" "Ptom_3_rdc" "B" 0 0 4.31 210 6 1501.30436377079 722.337110422106 0.31 0.52 0.0262 4.92 0.139288545232836 305.143163368048 1.5858641136306 48.3915592305107 361.168555211053 0.0217623028676757 0.064775628 2.07839849581242 48.3915592305105 0.0158320114819024 0.491173839053803 1.15309416637057 0.0062039963071807 0.0096280151747217
"205" "ssmi" "Ssmi_5" "B" 9 0 5.76 280 6 2850.3333794909 2625.71551998111 0.31 0.37 0.0293 4.63 0.0722054474643427 615.622760149222 0.679409164196294 41.8259744933199 1312.85775999055 0.00763798411247801 0.122680421 1.08554539050423 41.8259744933199 0.00540139165324787 0.368091051349319 0.863576536054212 0.0082218511221437 -0.00282045946889583
"208" "spar" "SP_m_7" "B" 9 0 3.31 258 6 1883.07238297974 1133.17019506948 0.36 0.39 0.0423 4.81 0.108492182366546 391.491139912628 0.408551848470483 15.9944428871121 566.585097534742 0.00530277073983107 0.070113306 1.66177366045554 15.9944428871121 0.00342745218155054 0.403523935945407 1.45638021451154 0.00640743154576376 -0.00297997936421322
"209" "pmal" "12H_Pmal_1" "B" 12 0 3.92 142 4 570.945020387667 535.577732152527 0.39 0.49 0.0313 4.96 0.026875856402981 115.109883142675 0.302433623492312 3.48130990586157 267.788866076264 0.00314617110029566 0.027296605 1.06603577055565 3.48130990586157 0.00188384549237972 0.308956178030283 1.38440751674822 0.00610245022553465 -0.00421860473315493
"211" "spar" "Sp_m_3" "B" 18 0 5.39 472 11 1199.11541589246 1439.62962833853 0.36 0.39 0.0423 4.81 0.0190142750966931 249.296344260386 0.107389974809169 2.67719281301408 719.814814169265 0.00101457047503212 0.046022379 0.832933271369492 2.67719281301409 0.000741494185172776 0.332115454633344 0.675029726886801 0.00640743154576376 -0.00566593736059099
"213" "dry" "DL_m_6" "B" 9 0 3.14 344 7 703.185903919992 721.874711560042 0.59 0.42 0.0372 5.43 0.202565964326729 129.50016646777 0.555798653546437 7.19760181568261 360.937355780021 0.00505073379861676 0.155179261 0.974110732318547 7.19760181568261 0.00350203467862805 0.342139157473895 0.873007789602963 0.00485143318773572 -0.00134939850910767
"214" "dry" "DL_Tawau" "B" 3 0 4.53 405 12 2352.46944664121 1721.66105040829 0.59 0.42 0.0372 5.43 0.047196898190619 433.235625532451 1.06864376640344 46.2974550609148 860.830525204147 0.0113637634077857 -0.035913018 1.36639522981792 46.2974550609149 0.00887117111810306 0.450762552365033 0.664901896903916 0.00485143318773572 0.00401973793036734
"215" "slep" "SL_m_1" "B" 9 0 2.85 306 6 761.460053743066 476.302366772839 0.42 0.4 0.055 4.44 0.132449652925656 171.500012104294 1.21297094965715 20.8024532548358 238.15118338642 0.016806499300702 0.150114902 1.59869046820468 20.8024532548358 0.0121015674829528 0.44296988018961 1.01033700680191 0.0138467526479274 -0.0017451851649746
"216" "ssmi" "Ssmi_4" "B" 0 0 5.03 374 7 4551.52754268209 2717.82869394468 0.31 0.37 0.0293 4.63 0.106992390543006 983.051305114923 2.00587613567212 197.187915307135 1358.91434697234 0.0271259116885207 -0.00904442 1.67469257824192 197.187915307135 0.0204290492682377 0.471547053329127 0.876793040040656 0.0082218511221437 0.012207198146094
"220" "sjoh" "8K_SJoh_8" "B" 0 0 3.71 290 3 456.48900320821 659.891700439747 0.4 0.39 0.0449 4.73 0.1000607996718 96.50930300385 1.78278910668692 17.2055734089211 329.945850219874 0.0154119229691977 -0.00462029800000002 0.691763516504313 17.2055734089211 0.00949545031848847 0.251928171638407 1.05411246872374 0.0070596393221021 0.00243581099638637
"221" "ssmi" "9H_Ssmi_4" "B" 9 0 5.14 423 9 7476.03508043646 3457.47614943073 0.31 0.37 0.0293 4.63 0.074876152461068 1614.69440182213 0.774680541337816 125.087233329871 1728.73807471536 0.0114407193352643 0.00701311999999998 2.1622810273521 125.087233329871 0.00911553257230367 0.544804129672358 0.806633504651326 0.0082218511221437 0.000893681450159967
"222" "sxan" "11H_Sxan_1" "B" 3 0 5.42 373 9 3393.40144573107 3280.18622052435 0.51 0.57 0.006 6.96 0.0951809722837997 487.557678984349 0.289031941888696 14.0919742739592 1640.09311026218 0.00211160397955276 NA 1.03451487738663 14.0919742739592 0.00163437329194836 0.393563356272267 0.594070484790619 0.00327295019169622 -0.00163857689974786
"223" "slep" "8P_Slep_4" "B" 15 0 4.23 290 8 1442.61802868771 755.278075727305 0.42 0.4 0.055 4.44 0.184168159145616 324.91397042516 0.921056354040039 29.9264076976471 377.639037863653 0.0136159337275008 0.067548949 1.91004886153821 29.9264076976471 0.010265818645182 0.494869120490607 0.949656225020053 0.0138467526479274 -0.0035809340027454
"224" "ptom" "Pt_m_5" "B" 3 0 4.43 398 5 1448.69485146659 1269.67533500739 0.31 0.52 0.0262 4.92 0.153834365583973 294.450173062316 0.835893676094978 24.6129037587861 634.837667503694 0.00905428696991109 0.076333175 1.14099629371643 24.6129037587861 0.00644509661784383 0.379352975942225 0.86674680064695 0.0062039963071807 0.000241100310663128
"225" "dry" "DL_m_2" "B" 6 0 5.34 582 12 3098.02202184654 3236.86776888047 0.59 0.42 0.0372 5.43 0.0850473548623321 570.538125570266 0.701407656231471 40.0179809446937 1618.43388444023 0.00631707610813875 0.180011956 0.957104906054921 40.0179809446936 0.00495057603747341 0.383252558546487 0.540216728756365 0.00485143318773572 9.91428497376864e-05
"226" "ssmi" "Ssmi_19" "B" 12 0 5.59 491 4 2602.51084258559 3493.13700010409 0.31 0.37 0.0293 4.63 0.000638343557625154 562.09737420855 0.535987341165403 30.1277077078096 1746.56850005205 0.00494249479059733 0.090558043 0.745035434484258 30.1277077078096 0.00342380453089671 0.295757264408225 0.774041944646176 0.0082218511221437 -0.00479804659124699
"227" "pmal" "Pm_m_4" "B" 21 0 4.51 223 6 1324.06413916445 945.128874170549 0.39 0.49 0.0313 4.96 0.0614597215723933 266.948415154122 0.0221774056498862 0.592022329046721 472.564437085274 0.000260895536680961 0.065967289 1.4009350209795 0.592022329046721 0.000178234420439711 0.398623147962982 1.11349967288729 0.00610245022553465 -0.00592421580509494
"228" "sjoh" "ou_SJoh" "B" 6 0 4.66 351 9 3259.79748905178 1394.24525455932 0.4 0.39 0.0449 4.73 0.0735414630570077 689.174944831244 0.710331300514727 48.9542534844143 697.12262727966 0.0105186514566539 0.135109378 2.33803735633449 48.9542534844142 0.0083372778378364 0.555168048266917 0.873367395133474 0.0070596393221021 0.0012776385157343
"229" "slep" "SL_m_72" "B" 15 0 4.36 360 13 6972.6120413305 1223.64359996016 0.42 0.4 0.055 4.44 0.178441142670283 1570.40811741678 1.08563642378494 170.489225247519 611.82179998008 0.0208008672141261 0.022532588 5.69823765805462 170.489225247519 0.018575047970728 0.759676178720124 0.802639449418739 0.0138467526479274 0.0047282953228006
"230" "ssem" "SS" "B" 0 0 3.42 210 9 1814.1815709995 603.673680955704 0.72 0.5 0.014 5.16 0.220589368044479 351.585575775097 1.69158151512278 59.4735660964954 301.836840477852 0.0245976536636765 0.034338358 3.00523549101459 59.4735660964953 0.0185781012478664 0.5667063725985 1.29774968142097 0.0056898425264925 0.0128882587213739
"233" "spar" "Spar_1" "B" 6 0 3.22 300 4 1357.5800106203 1233.53888473058 0.36 0.39 0.0423 4.81 0.128013294629792 282.241166449126 0.555205988557185 15.670198582992 616.769442365291 0.00604765709945163 0.428896292 1.10055712667445 15.670198582992 0.00366170840241457 0.31723032133325 1.36871126497566 0.00640743154576376 -0.00274572314334919
"234" "pmal" "Pmal_m_1" "B" 12 0 3.97 350 5 1043.20781856791 1123.20728799755 0.39 0.49 0.0313 4.96 -0.00616896337090714 210.324156969338 0.322220088131661 6.77706683948773 561.603643998777 0.00312824020611256 0.166600994 0.928775863293887 6.7770668394877 0.00212195060778279 0.326636215501937 0.914680615855709 0.00610245022553465 -0.00398049961775186
"235" "slep" "Slep_1" "B" 6 0 4.49 344 6 848.908701915173 870.355436455599 0.42 0.4 0.055 4.44 0.112353557998333 191.195653584498 1.2964642944217 24.7878338120922 435.177718227799 0.0144176995604538 -0.035928599 0.975358648154408 24.7878338120922 0.00999114902483136 0.342166782850266 0.875177105286134 0.0138467526479274 -0.00385560362309604
"236" "ptom" "Ptom_3_rdc" "B" 6 0 4.84 283 4 1033.25124253609 1060.24715112563 0.31 0.52 0.0262 4.92 0.00591437907008591 210.010415149613 0.554074873794183 11.6361494269486 530.123575562817 0.0055582318391923 0.0456220549999999 0.974538098441596 11.6361494269485 0.0035852805833104 0.318360952719173 1.08657253751393 0.0062039963071807 -0.0026187157238703
"237" "sjoh" "SJ_m_5" "B" 6 0 3.13 300 7 1614.11144925237 689.501082055321 0.4 0.39 0.0449 4.73 0.14521504120146 341.249777854624 0.709490489426537 24.2113471906775 344.75054102766 0.0105101647354442 0.081695663 2.34098465000359 24.2113471906774 0.00805180497851082 0.536794194086228 1.02006223871805 0.0070596393221021 0.00099216565640872
"238" "sjoh" "8K_SJoh_8" "B" 9 0 3.3 301 7 1634.66565198523 729.209357929949 0.4 0.39 0.0449 4.73 0.139124625683158 345.595275261148 0.561878406410041 19.4182522526573 364.604678964975 0.00821458502298482 0.062784176 2.24169593301114 19.4182522526573 0.00626270037756553 0.52720610808217 1.01033358380498 0.0070596393221021 -0.000796938944536571
"241" "ssem" "SS" "B" 9 0 4.04 302 7 1267.0981370696 939.390512288578 0.72 0.5 0.014 5.16 0.201084342771692 245.561654470853 0.470670814845908 11.5578704004706 469.695256144289 0.00523812819242579 0.096595165 1.34885132486877 11.5578704004706 0.00367317644796592 0.402693132305417 1.00072485773609 0.0056898425264925 -0.00201666607852658
"244" "ssem" "SS" "B" 9 0 3.42 174 9 1728.36748862842 529.693325791642 0.72 0.5 0.014 5.16 0.184219471139514 334.95493965667 0.470670814845908 15.7653514384867 264.846662895821 0.0069818099396653 0.064483581 3.26295878099903 15.7653514384867 0.0052460371659304 0.575127051059308 1.41049854462858 0.0056898425264925 -0.000443805360562099
"246" "ssmi" "Ssmi_Tawau" "B" 18 0 5.02 304 6 3286.16285644051 2174.08956757743 0.31 0.37 0.0293 4.63 0.0192185031973105 709.754396639419 0.348773113121032 24.754325046727 1087.04478378871 0.00453354957324692 0.154566312 1.5115121775329 24.754325046727 0.00327905907792621 0.435298564013157 0.960845193917588 0.0082218511221437 -0.00494279204421749
"247" "dry" "DL_m_1" "B" 18 0 7.17 611 10 3676.96581708985 4060.78570483407 0.59 0.42 0.0372 5.43 -0.000448428732077732 677.157609040489 0.196555858574819 13.3099295235425 2030.39285241703 0.00172012883663045 0.100105407 0.905481373398428 13.3099295235425 0.00128880438674553 0.35604168050602 0.637707873746799 0.00485143318773572 -0.00356262880099019
"249" "pmal" "12H_Pmal_1" "B" 3 0 4.05 321 7 1875.03125960823 1149.19122346003 0.39 0.49 0.0313 4.96 0.193647609120526 378.030495888756 0.927397496205109 35.0584535376408 574.595611730016 0.0115925510553284 0.0845772220000001 1.63160944961171 35.0584535376408 0.00851852218607235 0.455596119418185 0.949653384003605 0.00610245022553465 0.0024160719605377
"250" "sjoh" "SJ_m_4" "B" 3 0 3.46 411 4 697.695761195653 988.644885408634 0.4 0.39 0.0449 4.73 0.102337943983373 147.504389259123 1.04333857156788 15.3897018789606 494.322442704317 0.00912609318286326 0.080753007 0.705709169685611 15.3897018789606 0.00620723633867603 0.281406522120777 0.802083344742069 0.0070596393221021 -0.000852402983426071
"254" "dry" "DL_m_6" "B" 0 0 3.16 243 8 763.31238614326 517.906692981931 0.59 0.42 0.0372 5.43 0.165050193890324 140.573183451797 1.77670935382331 24.9757689935529 258.953346490966 0.0194937535668031 0.022072245 1.47384151718211 24.9757689935529 0.0134499523584141 0.411059024083078 1.11163266251681 0.00485143318773572 0.00859851917067838
"255" "sxan" "Sxan_3_RDC" "B" 0 0 2.81 381 10 7668.54924294187 1020.17527974784 0.51 0.57 0.006 6.96 0.191705293550804 1101.80305214682 1.03624543938337 114.173838788582 510.08763987392 0.0131404602010834 0.05517245 7.51689380753994 114.173838788582 0.012033261410182 0.808220680466437 0.783652428423516 0.00327295019169622 0.00876031121848578
"256" "pmal" "8L_Pmal_9" "B" 6 0 4.2 255 8 2347.26461232223 1026.34238606433 0.39 0.49 0.0313 4.96 0.123081078808859 473.238833129483 0.629777428214031 29.8035135259295 513.171193032164 0.00883431696109923 0.0767313120000001 2.28701907296569 29.8035135259294 0.00668541866369444 0.526530089621679 1.05654859400079 0.00610245022553465 0.000582968438159786
"257" "ssmi" "Ssmi_19" "B" 6 0 4.92 420 7 4953.96744278508 2967.54318556713 0.31 0.37 0.0293 4.63 0.0699213743168521 1069.97136993198 0.864223459662692 92.4694359062648 1483.77159278357 0.0116732073268075 0.046992535 1.66938343707315 92.4694359062648 0.0088819441451956 0.475842224976237 0.838887475951691 0.0082218511221437 0.000660093023051896
"260" "sbec" "SHOREABECCARINA_Sbec" "B" 6 0 4.84 341 4 1266.50293977353 2132.04650422795 0.41 0.42 0.037 5.37 0.0906973643756823 235.84784725764 0.46882396870608 11.0571123762112 1066.02325211398 0.00325347992089016 0.061152607 0.594031573543067 11.0571123762112 0.00231381533160012 0.265028862858383 0.647352882234062 0.00323018376090687 -0.000916368429306746
"263" "slep" "8Pslep_2" "B" 21 0 4.08 352 6 845.838725146398 797.784671330352 0.42 0.4 0.055 4.44 0.123584622813715 190.504217375315 0.909519583716356 17.3267316483406 398.892335665176 0.0105417893694395 0.05701586 1.0602343659172 17.3267316483407 0.00740915341899677 0.361692499747261 0.871079848942269 0.0138467526479274 -0.00643759922893063
"264" "ssem" "Ssem_ou" "B" 6 0 3.97 230 6 865.132511142441 693.991446425478 0.72 0.5 0.014 5.16 0.128697673601113 167.66133936869 0.5906214570593 9.90243845504495 346.995723212739 0.00635128362115081 0.092221135 1.2466039972084 9.90243845504495 0.00417881954781926 0.365085091457868 1.16795339331781 0.0056898425264925 -0.00151102297867324
"265" "dry" "DL_Tawau" "B" 15 0 3.97 442 8 1252.44945167318 1368.47037182822 0.59 0.42 0.0372 5.43 0.10757470128039 230.653674341286 0.333582280782525 7.6941978757636 684.235185914112 0.00293568609263467 0.049372044 0.915218537029749 7.69419787576358 0.00218200315434207 0.35518304810086 0.661533202456019 0.00485143318773572 -0.00266943003339365
"266" "dry" "Dl_m_4" "B" 18 0 5.14 515 13 3084.40242085239 2798.79203686385 0.59 0.42 0.0372 5.43 0.117342917481347 568.029911759188 0.194716716926208 11.0604919533633 1399.39601843193 0.00188001468128537 0.141047135 1.10204773353171 11.0604919533633 0.00148073763314953 0.412928354325582 0.566811699315022 0.00485143318773572 -0.00337069555458619
"268" "sxan" "8L_Sxan_10" "B" 0 0 3.36 161 2 426.101403922859 404.627671970958 0.51 0.57 0.006 6.96 0.138411790569537 61.2214660808706 1.01894079862803 6.2381049541621 202.313835985479 0.00750919299104855 -0.122331457 1.05307034945806 6.23810495416211 0.00455619866210441 0.311216733405362 1.3306498571493 0.00327295019169622 0.00128324847040819
"269" "sjoh" "8m_SJoh_7" "B" 12 0 4.09 341 8 2453.54452075573 1104.64397580321 0.4 0.39 0.0449 4.73 0.0644729939886479 518.719771829963 0.388721308739927 20.163742857502 552.321987901603 0.00566685628853053 0.253347499 2.2211179117432 20.163742857502 0.00442880772869898 0.538901780935338 0.900445590771388 0.0070596393221021 -0.00263083159340312
"270" "sxan" "11H_Sxan_1" "B" 6 0 2.97 189 4 783.054936206215 388.299289584587 0.51 0.57 0.006 6.96 0.0245019606439714 112.507893133077 -0.00769581232681316 -0.0865839630837311 194.149644792294 -7.39178304712024e-05 0.153339658 2.01662726976387 -0.0865839630837311 -5.10789207170975e-05 0.461951608347257 1.34882407475864 0.00327295019169622 -0.00332402911241332
"273" "slep" "12I_Slep_3" "B" 12 0 5.23 535 11 3879.90615381791 2103.30142775736 0.42 0.4 0.055 4.44 0.195226579997439 873.852737346376 1.05613029662629 92.2902350701321 1051.65071387868 0.015424876007032 -0.064173092 1.84467433084703 92.2902350701324 0.0124589261726667 0.523776586878979 0.677198118318496 0.0138467526479274 -0.0013878264752607
"275" "slep" "SL_m_6" "B" 0 0 3.96 515 5 760.233596180101 1250.37823056787 0.42 0.4 0.055 4.44 0.144497917359603 171.223782923446 2.38125221936617 40.7727013094727 625.189115283937 0.0202787533461492 -0.044598128 0.608002904716944 40.7727013094728 0.0144816464389123 0.270019738630985 0.643695092620416 0.0138467526479274 0.0006348937909849
"276" "sjoh" "S.Joh_m_7" "B" 21 0 2.74 232 4 460.402102298698 401.330254786665 0.4 0.39 0.0449 4.73 1.42210558924859e-05 97.3365966804858 0.189765498475741 1.84711277890045 200.665127393333 0.0021434877821554 0.210430108 1.14719011788292 1.84711277890045 0.00133923196722421 0.333810268771291 1.28946305071362 0.0070596393221021 -0.00572040735487789
"277" "ptom" "8L_Ptom_6" "B" 6 0 4.04 195 4 713.141636396014 541.495311383247 0.31 0.52 0.0262 4.92 0.0506218014969658 144.947487072361 0.634852005315233 9.2020202833292 270.747655691623 0.00733440881014783 -0.043310023 1.31698580099299 9.20202028332919 0.00483557243666115 0.374749015348224 1.19732843881688 0.0062039963071807 -0.00136842387051955
"279" "ssmi" "Ssmi_5" "B" 21 0 4.14 255 6 3506.2669113771 1410.68706223105 0.31 0.37 0.0293 4.63 -0.0484303174092815 757.293069411901 0.26134164916297 19.7912219659793 705.343531115525 0.00402509807336191 0.128167424 2.48550299017545 19.7912219659794 0.0029860887779932 0.529023639606982 1.21278042117071 0.0082218511221437 -0.0052357623441505
"280" "ssem" "SS" "B" 12 0 3.14 232 7 964.073112930248 535.677198877336 0.72 0.5 0.014 5.16 NA 186.835874598885 0.331556156789074 6.19465845323317 267.838599438668 0.00413045985352523 0.204559395 1.79972773706019 6.19465845323318 0.00281262071039921 0.437727442802177 1.31179820597634 0.0056898425264925 -0.00287722181609329
"282" "dry" "DL_m_7" "B" 21 0 5.27 520 17 4395.43903204795 3510.7912197814 0.59 0.42 0.0372 5.43 0.0628809774006168 809.473118240875 0.181698700224395 14.7080213450955 1755.3956098907 0.00186030774169426 0.16685446 1.25197961282404 14.7080213450955 0.00149739107245336 0.447489911231083 0.545803267643002 0.00485143318773572 -0.00335404211528236
"283" "ssem" "SS" "B" 3 0 3.59 260 9 1967.566807309 769.059779334811 0.72 0.5 0.014 5.16 NA 381.311396765311 0.956520029501871 36.4731988483355 384.529889667406 0.0133277952594424 0.100554017 2.55840554945004 36.4731988483354 0.010116261590271 0.54572730518756 1.12966031262139 0.0056898425264925 0.0044264190637785
"285" "slep" "Slep_m_122" "B" 3 0 3.56 410 6 897.978645766617 851.646097255219 0.42 0.4 0.055 4.44 0.171054775478813 202.247442740229 1.67934350512061 33.9642929393055 425.823048627609 0.0194123300294923 0.344349446 1.05440352355365 33.9642929393056 0.014102040229969 0.372842473443607 0.773609910149555 0.0138467526479274 0.000255287582041601
"286" "sbec" "SHOREABECCARINA_Sbec" "B" 0 0 4.17 320 4 1089.65223012128 1817.01354048684 0.41 0.42 0.037 5.37 -0.0631433788054629 202.914754212529 1.5006132085425 30.4496560379476 908.506770243421 0.0104758023250733 -0.063336448 0.599694061624507 30.4496560379476 0.00744540638136487 0.266436627642126 0.651100308997873 0.00323018376090687 0.004215222620458
"287" "ssem" "SS" "B" 15 0 2.9 210 9 1738.86759929083 492.292163230014 0.72 0.5 0.014 5.16 0.221277793030308 336.989844823804 0.22145854388096 7.46292803373503 246.146081615007 0.00334486492589986 0.24124895 3.53218622836045 7.46292803373504 0.00254745441273728 0.593558710328651 1.41867620006671 0.0056898425264925 -0.00314238811375522
"288" "spar" "Sp_m_4" "B" 6 0 3.26 261 6 1945.56984315427 1158.97682221264 0.36 0.39 0.0423 4.81 NA 404.484374876148 0.670036191513165 27.1019170068597 579.488411106319 0.00872975024315078 0.112803738 1.6786960755953 27.1019170068597 0.00564415561713899 0.405177942062032 1.4644121771691 0.00640743154576376 -0.000763275928624774
"290" "dry" "DL_m_3" "B" 15 0 4.44 565 13 3329.25930773043 2795.1237450789 0.59 0.42 0.0372 5.43 0.113159897846725 613.123261092161 0.445508178798664 27.3151427428267 1397.56187253945 0.00446006438645225 0.157574617 1.19109549750416 27.3151427428266 0.00361234506295372 0.440284480180177 0.514190632537781 0.00485143318773572 -0.001239088124782
"291" "spar" "Sp_m_1" "B" 0 0 4.19 328 7 1468.44712320587 1207.94061235641 0.36 0.39 0.0423 4.81 NA 305.290462204962 1.68387387828778 51.4070634597337 603.970306178204 0.0192076292895333 0.00363597799999998 1.2156616874908 51.4070634597339 0.0131575115497212 0.375845432191823 1.0188107401809 0.00640743154576376 0.00675008000395744
"293" "spar" "SP_m_5" "B" 9 0 4.34 430 16 6010.09834841925 2395.00173820592 0.36 0.39 0.0423 4.81 NA 1249.50069613706 0.457926621089753 57.2179631831338 1197.50086910296 0.00680752907085346 0.096810103 2.50943381482528 57.2179631831337 0.00558356139272865 0.586489823088073 0.769299960318912 0.00640743154576376 -0.000823870153035114
"295" "dry" "DL_m_1" "B" 12 0 6.57 505 12 2954.65422050623 3550.66093463419 0.59 0.42 0.0372 5.43 -0.12088766148705 544.135215562842 0.397774454662004 21.6443088632901 1775.3304673171 0.00332717298810451 0.07975442 0.832142036341929 21.6443088632901 0.00251234044697558 0.342958389287951 0.594222392502103 0.00485143318773572 -0.00233909274076014
"296" "ptom" "Pt_m_4" "B" 15 0 3.99 371 5 1247.7928621453 973.199740865635 0.31 0.52 0.0262 4.92 0.253822431400656 253.616435395385 0.111552895659986 2.82916477553191 486.599870432818 0.00127382899506126 0.147129513 1.28215494697462 2.82916477553191 0.000928779253006578 0.409634720619043 0.847840833258613 0.0062039963071807 -0.00527521705417412
"297" "dry" "DL_m_7" "B" 9 0 5.22 180 10 1497.37523087007 1130.44752353577 0.59 0.42 0.0372 5.43 -0.102836923529207 275.759711025796 0.59976621525772 16.5391358202504 565.223761767887 0.00629385516679945 0.101392641 1.32458623659649 16.5391358202504 0.00465141269603641 0.421116933514248 0.820825717139815 0.00485143318773572 -0.000200020491699314
"300" "pmal" "Pmal_1_RDC" "B" 3 0 3.17 265 7 1551.03210337255 723.264027767971 0.39 0.49 0.0313 4.96 0.260253875917049 312.708085357368 0.918703620769477 28.7286050261705 361.632013883986 0.0126318664631257 0.081012685 2.14448948630711 28.7286050261706 0.00937694253285449 0.5062528753724 1.09151506918233 0.00610245022553465 0.00327449230731984
"301" "slep" "12H_Slep_8" "B" 9 0 4.05 430 5 683.794638250098 967.444602457596 0.42 0.4 0.055 4.44 0.0177856323142879 154.00780140768 1.18244433666052 18.2105652576049 483.722301228798 0.0110284232645781 -0.036056946 0.706804954529754 18.2105652576049 0.00762847760906405 0.286444270855928 0.760708018998192 0.0138467526479274 -0.00621827503886335
"302" "spar" "9Q_Spar_10" "B" 18 0 3.99 421 5 1337.47725349094 1567.77768303109 0.36 0.39 0.0423 4.81 0.00666530857552107 278.061799062566 0.123792946273192 3.44220893519791 783.888841515544 0.00118482164574469 0.121016347 0.853103898573876 3.44220893519793 0.00079588931970109 0.309244407133984 0.905568138473691 0.00640743154576376 -0.00561154222606267
"304" "sbec" "SHOREABECCARINA_Sbec" "B" 12 0 4.99 350 7 3434.61111159645 2564.75258767862 0.41 0.42 0.037 5.37 NA 639.592385772151 0.140587850208791 8.99189185256188 1282.37629383931 0.00149880759081974 -0.010385011 1.33915884444244 8.99189185256184 0.00118170118395762 0.451371533772528 0.627707127919296 0.00323018376090687 -0.00204848257694925
"306" "ptom" "Ptom_3" "B" 0 0 3.25 171 4 538.180836060149 319.712084166191 0.31 0.52 0.0262 4.92 0.119542271929647 109.386348792713 1.63205054363743 17.8524050013661 159.856042083096 0.0208095959069765 0.276731626 1.68332966663967 17.8524050013661 0.0142006534822942 0.428094677614403 1.2488137461684 0.0062039963071807 0.0079966571751135
"308" "dry" "DL_Tawau" "B" 12 0 5.95 583 17 4042.23218891115 4523.84828222702 0.59 0.42 0.0372 5.43 0.0344377774995795 744.425817479033 0.443679893690639 33.0286767559665 2261.92414111351 0.00385575139846637 0.1132487 0.893538407287439 33.0286767559664 0.00300011813731056 0.367171055467191 0.54003688134879 0.00485143318773572 -0.00185131505042516
"309" "slep" "12H_Slep_8" "B" 0 0 4.69 432 8 1681.54427653735 1282.7714394831 0.42 0.4 0.055 4.44 -0.121261961955181 378.726188409312 2.4033550369374 91.0213492533623 641.385719741552 0.0307056865641684 -0.109063365 1.31086819115253 91.0213492533625 0.0231354387628346 0.427408129586562 0.756149257534179 0.0138467526479274 0.0092886861149072
"310" "ssem" "Ssem_ou" "B" 3 0 2.94 211 3 239.393973292168 378.689710138772 0.72 0.5 0.014 5.16 0.115398730320493 46.3941808705752 0.887349211274808 4.11678398032457 189.344855069386 0.00666056084424133 0.193576557 0.632163924402492 4.11678398032457 0.00348879061889802 0.202875704004414 1.48385200024829 0.0056898425264925 -0.00220105190759448
"311" "sjoh" "SJ_m_10" "B" 21 0 3.34 228 5 747.017282721419 513.328429111105 0.4 0.39 0.0449 4.73 0.287168358424614 157.931772245543 0.163174355819597 2.57704151996138 256.664214555552 0.00204471003135672 0.189662767 1.45524237575343 2.57704151996138 0.00136548811389135 0.395819474589916 1.2212881367008 0.0070596393221021 -0.00569415120821075
"312" "dry" "DL_Tawau" "B" 21 0 4.95 511 16 4227.85833597431 3066.1089204312 0.59 0.42 0.0372 5.43 0.0383491247468537 778.611111597478 0.164727036714149 12.8258301166162 1533.0544602156 0.0017584161904967 0.184537642 1.37890024317196 12.8258301166162 0.00142748036693684 0.470549252088943 0.551505526363349 0.00485143318773572 -0.00342395282079888
"313" "spar" "SP_m_5" "B" 0 0 3.6 444 8 3028.05085185254 2236.62409635321 0.36 0.39 0.0423 4.81 0.216989314845672 629.532401632544 1.67883732136663 105.688249087028 1118.3120481766 0.0200749809108438 -0.00296426100000002 1.35384880132059 105.688249087028 0.014591670973311 0.418062765750837 0.884537661748151 0.00640743154576376 0.00818423942754724
"314" "slep" "Slep_1" "B" 3 0 5.32 441 9 2058.47874250762 1566.81124182097 0.42 0.4 0.055 4.44 0.104875635513307 463.621338402617 1.59319204863721 73.863782992159 783.405620910487 0.0203745861190298 0.00427379 1.31380136136579 73.8637829921591 0.0153298480603129 0.427221096452311 0.761424493058857 0.0138467526479274 0.0014830954123855
"315" "sbec" "SHOREABECCARINA_Sbec" "B" 6 0 5.79 371 7 3550.3831386669 2975.72883644403 0.41 0.42 0.037 5.37 0.0885208990365875 661.151422470558 0.46882396870608 30.9963633798317 1487.86441822201 0.00474959110386777 0.044956077 1.19311379961273 30.9963633798317 0.00366780470433642 0.42011741244046 0.64683942365868 0.00323018376090687 0.000437620943429554
"316" "ssmi" "Ssmi_Tawau" "B" 3 0 5.32 325 5 2604.98138500453 2393.08928185301 0.31 0.37 0.0293 4.63 -0.0400936292488704 562.630968683485 1.17495558192101 66.1066397216287 1196.5446409265 0.0132264315828876 0.064985423 1.08854333382307 66.1066397216284 0.00922868600942505 0.363663247199336 0.904729542130771 0.0082218511221437 0.00100683488728135
"317" "ssem" "SS" "B" 21 0 4.03 271 9 2069.86050252357 931.709018198692 0.72 0.5 0.014 5.16 0.263762372158465 401.135756303018 0.0526032998125838 2.11010644543552 465.854509099346 0.000703001023587075 0.158431019 2.2215739700849 2.11010644543552 0.00053111115865278 0.520981305053558 1.04263656594675 0.0056898425264925 -0.00515873136783972
